front,back,unidad,materia,submateria,tipo,nivel
Definición de ley del Art. 1 CC (Profundización 5),"Declaración de voluntad soberana que, manifestada en forma prescrita por la CPR, manda, prohíbe o permite.",DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,ORIGEN_DEFINICION_LEY,CIVIL,BASICO
Crítica de Planiol a la definición legal de ley (Profundización 5),Cuestiona que no define la ley por su esencia de regla social obligatoria sino por su origen formal.,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,ORIGEN_DEFINICION_LEY,CIVIL,INTERMEDIO
Diferencia entre ley en sentido material y formal (Profundización 5),Material: norma general; Formal: acto emanado del legislador siguiendo el proceso constitucional.,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,ORIGEN_DEFINICION_LEY,CIVIL,INTERMEDIO
Concepto de voluntad soberana (Profundización 5),Refiere al poder del Estado que reside en la nación y se ejerce a través de sus representantes.,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,ORIGEN_DEFINICION_LEY,CIVIL,AVANZADO
¿Cuál es la etimología de la palabra ley? (Profundización 6),"Deriva del latín lex, proveniente de legere (elegir o leer).",DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,ORIGEN_DEFINICION_LEY,CIVIL,BASICO
Definición de ley del Art. 1 CC (Profundización 6),"Declaración de voluntad soberana que, manifestada en forma prescrita por la CPR, manda, prohíbe o permite.",DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,ORIGEN_DEFINICION_LEY,CIVIL,BASICO
Crítica de Planiol a la definición legal de ley (Profundización 6),Cuestiona que no define la ley por su esencia de regla social obligatoria sino por su origen formal.,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,ORIGEN_DEFINICION_LEY,CIVIL,INTERMEDIO
Diferencia entre ley en sentido material y formal (Profundización 6),Material: norma general; Formal: acto emanado del legislador siguiendo el proceso constitucional.,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,ORIGEN_DEFINICION_LEY,CIVIL,INTERMEDIO
Concepto de voluntad soberana (Profundización 6),Refiere al poder del Estado que reside en la nación y se ejerce a través de sus representantes.,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,ORIGEN_DEFINICION_LEY,CIVIL,AVANZADO
Requisitos externos de la ley,Declaración de voluntad soberana y manifestación en forma prescrita por la CPR.,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,REQUISITOS_CARACTERISTICAS,CIVIL,BASICO
¿Qué es la promulgación?,Acto del Ejecutivo que fija el texto de la ley y ordena su ejecución.,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,REQUISITOS_CARACTERISTICAS,CIVIL,BASICO
¿Qué es la publicación?,Inserción en el Diario Oficial para hacer conocida la ley tras su promulgación.,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,REQUISITOS_CARACTERISTICAS,CIVIL,BASICO
Generalidad de la ley,Se aplica a todos los sujetos que se encuentren en la hipótesis legal sin distinciones.,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,REQUISITOS_CARACTERISTICAS,CIVIL,INTERMEDIO
Analice el Art. 8 CC sobre ignorancia de la ley,Establece una presunción de derecho: nadie puede alegar ignorancia tras la entrada en vigencia.,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,REQUISITOS_CARACTERISTICAS,CIVIL,AVANZADO
Requisitos externos de la ley (Profundización 1),Declaración de voluntad soberana y manifestación en forma prescrita por la CPR.,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,REQUISITOS_CARACTERISTICAS,CIVIL,BASICO
¿Qué es la promulgación? (Profundización 1),Acto del Ejecutivo que fija el texto de la ley y ordena su ejecución.,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,REQUISITOS_CARACTERISTICAS,CIVIL,BASICO
¿Qué es la publicación? (Profundización 1),Inserción en el Diario Oficial para hacer conocida la ley tras su promulgación.,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,REQUISITOS_CARACTERISTICAS,CIVIL,BASICO
Generalidad de la ley (Profundización 1),Se aplica a todos los sujetos que se encuentren en la hipótesis legal sin distinciones.,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,REQUISITOS_CARACTERISTICAS,CIVIL,INTERMEDIO
Analice el Art. 8 CC sobre ignorancia de la ley (Profundización 1),Establece una presunción de derecho: nadie puede alegar ignorancia tras la entrada en vigencia.,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,REQUISITOS_CARACTERISTICAS,CIVIL,AVANZADO
Requisitos externos de la ley (Profundización 2),Declaración de voluntad soberana y manifestación en forma prescrita por la CPR.,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,REQUISITOS_CARACTERISTICAS,CIVIL,BASICO
¿Qué es la promulgación? (Profundización 2),Acto del Ejecutivo que fija el texto de la ley y ordena su ejecución.,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,REQUISITOS_CARACTERISTICAS,CIVIL,BASICO
¿Qué es la publicación? (Profundización 2),Inserción en el Diario Oficial para hacer conocida la ley tras su promulgación.,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,REQUISITOS_CARACTERISTICAS,CIVIL,BASICO
Generalidad de la ley (Profundización 2),Se aplica a todos los sujetos que se encuentren en la hipótesis legal sin distinciones.,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,REQUISITOS_CARACTERISTICAS,CIVIL,INTERMEDIO
Analice el Art. 8 CC sobre ignorancia de la ley (Profundización 2),Establece una presunción de derecho: nadie puede alegar ignorancia tras la entrada en vigencia.,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,REQUISITOS_CARACTERISTICAS,CIVIL,AVANZADO
Requisitos externos de la ley (Profundización 3),Declaración de voluntad soberana y manifestación en forma prescrita por la CPR.,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,REQUISITOS_CARACTERISTICAS,CIVIL,BASICO
¿Qué es la promulgación? (Profundización 3),Acto del Ejecutivo que fija el texto de la ley y ordena su ejecución.,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,REQUISITOS_CARACTERISTICAS,CIVIL,BASICO
¿Qué es la publicación? (Profundización 3),Inserción en el Diario Oficial para hacer conocida la ley tras su promulgación.,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,REQUISITOS_CARACTERISTICAS,CIVIL,BASICO
Generalidad de la ley (Profundización 3),Se aplica a todos los sujetos que se encuentren en la hipótesis legal sin distinciones.,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,REQUISITOS_CARACTERISTICAS,CIVIL,INTERMEDIO
Analice el Art. 8 CC sobre ignorancia de la ley (Profundización 3),Establece una presunción de derecho: nadie puede alegar ignorancia tras la entrada en vigencia.,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,REQUISITOS_CARACTERISTICAS,CIVIL,AVANZADO
Requisitos externos de la ley (Profundización 4),Declaración de voluntad soberana y manifestación en forma prescrita por la CPR.,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,REQUISITOS_CARACTERISTICAS,CIVIL,BASICO
¿Qué es la promulgación? (Profundización 4),Acto del Ejecutivo que fija el texto de la ley y ordena su ejecución.,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,REQUISITOS_CARACTERISTICAS,CIVIL,BASICO
¿Qué es la publicación? (Profundización 4),Inserción en el Diario Oficial para hacer conocida la ley tras su promulgación.,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,REQUISITOS_CARACTERISTICAS,CIVIL,BASICO
Generalidad de la ley (Profundización 4),Se aplica a todos los sujetos que se encuentren en la hipótesis legal sin distinciones.,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,REQUISITOS_CARACTERISTICAS,CIVIL,INTERMEDIO
Analice el Art. 8 CC sobre ignorancia de la ley (Profundización 4),Establece una presunción de derecho: nadie puede alegar ignorancia tras la entrada en vigencia.,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,REQUISITOS_CARACTERISTICAS,CIVIL,AVANZADO
Requisitos externos de la ley (Profundización 5),Declaración de voluntad soberana y manifestación en forma prescrita por la CPR.,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,REQUISITOS_CARACTERISTICAS,CIVIL,BASICO
¿Qué es la promulgación? (Profundización 5),Acto del Ejecutivo que fija el texto de la ley y ordena su ejecución.,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,REQUISITOS_CARACTERISTICAS,CIVIL,BASICO
¿Qué es la publicación? (Profundización 5),Inserción en el Diario Oficial para hacer conocida la ley tras su promulgación.,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,REQUISITOS_CARACTERISTICAS,CIVIL,BASICO
Generalidad de la ley (Profundización 5),Se aplica a todos los sujetos que se encuentren en la hipótesis legal sin distinciones.,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,REQUISITOS_CARACTERISTICAS,CIVIL,INTERMEDIO
Analice el Art. 8 CC sobre ignorancia de la ley (Profundización 5),Establece una presunción de derecho: nadie puede alegar ignorancia tras la entrada en vigencia.,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,REQUISITOS_CARACTERISTICAS,CIVIL,AVANZADO
Requisitos externos de la ley (Profundización 6),Declaración de voluntad soberana y manifestación en forma prescrita por la CPR.,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,REQUISITOS_CARACTERISTICAS,CIVIL,BASICO
¿Qué es la promulgación? (Profundización 6),Acto del Ejecutivo que fija el texto de la ley y ordena su ejecución.,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,REQUISITOS_CARACTERISTICAS,CIVIL,BASICO
¿Qué es la publicación? (Profundización 6),Inserción en el Diario Oficial para hacer conocida la ley tras su promulgación.,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,REQUISITOS_CARACTERISTICAS,CIVIL,BASICO
Generalidad de la ley (Profundización 6),Se aplica a todos los sujetos que se encuentren en la hipótesis legal sin distinciones.,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,REQUISITOS_CARACTERISTICAS,CIVIL,INTERMEDIO
Analice el Art. 8 CC sobre ignorancia de la ley (Profundización 6),Establece una presunción de derecho: nadie puede alegar ignorancia tras la entrada en vigencia.,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,REQUISITOS_CARACTERISTICAS,CIVIL,AVANZADO
¿Qué es una ley prohibitiva?,Aquella que impide realizar un acto de forma absoluta (Art. 10 CC).,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,CLASIFICACION_LEYES,CIVIL,BASICO
Leyes imperativas de requisito,Permiten el acto pero exigen formalidades para su validez (ej: venta de raíces).,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,CLASIFICACION_LEYES,CIVIL,INTERMEDIO
Sanción al acto prohibido,Nulidad absoluta o carencia de valor (Art. 10 CC).,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,CLASIFICACION_LEYES,CIVIL,BASICO
Leyes de orden público,Normas irrenunciables que protegen intereses esenciales de la sociedad.,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,CLASIFICACION_LEYES,CIVIL,INTERMEDIO
Analice las leyes dispositivas,Regulan situaciones ante el silencio de las partes basándose en la voluntad presunta.,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,CLASIFICACION_LEYES,CIVIL,AVANZADO
¿Qué es una ley prohibitiva? (Profundización 1),Aquella que impide realizar un acto de forma absoluta (Art. 10 CC).,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,CLASIFICACION_LEYES,CIVIL,BASICO
Leyes imperativas de requisito (Profundización 1),Permiten el acto pero exigen formalidades para su validez (ej: venta de raíces).,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,CLASIFICACION_LEYES,CIVIL,INTERMEDIO
Sanción al acto prohibido (Profundización 1),Nulidad absoluta o carencia de valor (Art. 10 CC).,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,CLASIFICACION_LEYES,CIVIL,BASICO
Leyes de orden público (Profundización 1),Normas irrenunciables que protegen intereses esenciales de la sociedad.,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,CLASIFICACION_LEYES,CIVIL,INTERMEDIO
Analice las leyes dispositivas (Profundización 1),Regulan situaciones ante el silencio de las partes basándose en la voluntad presunta.,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,CLASIFICACION_LEYES,CIVIL,AVANZADO
¿Qué es una ley prohibitiva? (Profundización 2),Aquella que impide realizar un acto de forma absoluta (Art. 10 CC).,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,CLASIFICACION_LEYES,CIVIL,BASICO
Leyes imperativas de requisito (Profundización 2),Permiten el acto pero exigen formalidades para su validez (ej: venta de raíces).,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,CLASIFICACION_LEYES,CIVIL,INTERMEDIO
Sanción al acto prohibido (Profundización 2),Nulidad absoluta o carencia de valor (Art. 10 CC).,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,CLASIFICACION_LEYES,CIVIL,BASICO
Leyes de orden público (Profundización 2),Normas irrenunciables que protegen intereses esenciales de la sociedad.,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,CLASIFICACION_LEYES,CIVIL,INTERMEDIO
Analice las leyes dispositivas (Profundización 2),Regulan situaciones ante el silencio de las partes basándose en la voluntad presunta.,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,CLASIFICACION_LEYES,CIVIL,AVANZADO
¿Qué es una ley prohibitiva? (Profundización 3),Aquella que impide realizar un acto de forma absoluta (Art. 10 CC).,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,CLASIFICACION_LEYES,CIVIL,BASICO
Leyes imperativas de requisito (Profundización 3),Permiten el acto pero exigen formalidades para su validez (ej: venta de raíces).,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,CLASIFICACION_LEYES,CIVIL,INTERMEDIO
Sanción al acto prohibido (Profundización 3),Nulidad absoluta o carencia de valor (Art. 10 CC).,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,CLASIFICACION_LEYES,CIVIL,BASICO
Leyes de orden público (Profundización 3),Normas irrenunciables que protegen intereses esenciales de la sociedad.,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,CLASIFICACION_LEYES,CIVIL,INTERMEDIO
Analice las leyes dispositivas (Profundización 3),Regulan situaciones ante el silencio de las partes basándose en la voluntad presunta.,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,CLASIFICACION_LEYES,CIVIL,AVANZADO
¿Qué es una ley prohibitiva? (Profundización 4),Aquella que impide realizar un acto de forma absoluta (Art. 10 CC).,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,CLASIFICACION_LEYES,CIVIL,BASICO
Leyes imperativas de requisito (Profundización 4),Permiten el acto pero exigen formalidades para su validez (ej: venta de raíces).,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,CLASIFICACION_LEYES,CIVIL,INTERMEDIO
Sanción al acto prohibido (Profundización 4),Nulidad absoluta o carencia de valor (Art. 10 CC).,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,CLASIFICACION_LEYES,CIVIL,BASICO
Leyes de orden público (Profundización 4),Normas irrenunciables que protegen intereses esenciales de la sociedad.,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,CLASIFICACION_LEYES,CIVIL,INTERMEDIO
Analice las leyes dispositivas (Profundización 4),Regulan situaciones ante el silencio de las partes basándose en la voluntad presunta.,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,CLASIFICACION_LEYES,CIVIL,AVANZADO
¿Qué es una ley prohibitiva? (Profundización 5),Aquella que impide realizar un acto de forma absoluta (Art. 10 CC).,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,CLASIFICACION_LEYES,CIVIL,BASICO
Leyes imperativas de requisito (Profundización 5),Permiten el acto pero exigen formalidades para su validez (ej: venta de raíces).,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,CLASIFICACION_LEYES,CIVIL,INTERMEDIO
Sanción al acto prohibido (Profundización 5),Nulidad absoluta o carencia de valor (Art. 10 CC).,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,CLASIFICACION_LEYES,CIVIL,BASICO
Leyes de orden público (Profundización 5),Normas irrenunciables que protegen intereses esenciales de la sociedad.,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,CLASIFICACION_LEYES,CIVIL,INTERMEDIO
Analice las leyes dispositivas (Profundización 5),Regulan situaciones ante el silencio de las partes basándose en la voluntad presunta.,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,CLASIFICACION_LEYES,CIVIL,AVANZADO
¿Qué es una ley prohibitiva? (Profundización 6),Aquella que impide realizar un acto de forma absoluta (Art. 10 CC).,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,CLASIFICACION_LEYES,CIVIL,BASICO
Leyes imperativas de requisito (Profundización 6),Permiten el acto pero exigen formalidades para su validez (ej: venta de raíces).,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,CLASIFICACION_LEYES,CIVIL,INTERMEDIO
Sanción al acto prohibido (Profundización 6),Nulidad absoluta o carencia de valor (Art. 10 CC).,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,CLASIFICACION_LEYES,CIVIL,BASICO
Leyes de orden público (Profundización 6),Normas irrenunciables que protegen intereses esenciales de la sociedad.,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,CLASIFICACION_LEYES,CIVIL,INTERMEDIO
Analice las leyes dispositivas (Profundización 6),Regulan situaciones ante el silencio de las partes basándose en la voluntad presunta.,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,CLASIFICACION_LEYES,CIVIL,AVANZADO
Escala de jerarquía normativa en Chile,Constitución > Ley/DFL/DL > Potestad Reglamentaria > Actos privados.,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,JERARQUIA_NORMAS,CIVIL,BASICO
Supremacía Constitucional,La Constitución es la norma suprema que subordina a todas las demás.,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,JERARQUIA_NORMAS,CIVIL,BASICO
Rango de Tratados de DD.HH.,Rango constitucional o preferente según Art. 5 CPR.,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,JERARQUIA_NORMAS,CIVIL,AVANZADO
Jerarquía Ley vs Reglamento,La ley prima sobre el reglamento en caso de contradicción.,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,JERARQUIA_NORMAS,CIVIL,INTERMEDIO
¿Qué es el control de constitucionalidad?,"Velar porque las leyes respeten la CPR, tarea del Tribunal Constitucional.",DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,JERARQUIA_NORMAS,CIVIL,INTERMEDIO
Escala de jerarquía normativa en Chile (Profundización 1),Constitución > Ley/DFL/DL > Potestad Reglamentaria > Actos privados.,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,JERARQUIA_NORMAS,CIVIL,BASICO
Supremacía Constitucional (Profundización 1),La Constitución es la norma suprema que subordina a todas las demás.,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,JERARQUIA_NORMAS,CIVIL,BASICO
Rango de Tratados de DD.HH. (Profundización 1),Rango constitucional o preferente según Art. 5 CPR.,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,JERARQUIA_NORMAS,CIVIL,AVANZADO
Jerarquía Ley vs Reglamento (Profundización 1),La ley prima sobre el reglamento en caso de contradicción.,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,JERARQUIA_NORMAS,CIVIL,INTERMEDIO
¿Qué es el control de constitucionalidad? (Profundización 1),"Velar porque las leyes respeten la CPR, tarea del Tribunal Constitucional.",DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,JERARQUIA_NORMAS,CIVIL,INTERMEDIO
Escala de jerarquía normativa en Chile (Profundización 2),Constitución > Ley/DFL/DL > Potestad Reglamentaria > Actos privados.,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,JERARQUIA_NORMAS,CIVIL,BASICO
Supremacía Constitucional (Profundización 2),La Constitución es la norma suprema que subordina a todas las demás.,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,JERARQUIA_NORMAS,CIVIL,BASICO
Rango de Tratados de DD.HH. (Profundización 2),Rango constitucional o preferente según Art. 5 CPR.,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,JERARQUIA_NORMAS,CIVIL,AVANZADO
Jerarquía Ley vs Reglamento (Profundización 2),La ley prima sobre el reglamento en caso de contradicción.,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,JERARQUIA_NORMAS,CIVIL,INTERMEDIO
¿Qué es el control de constitucionalidad? (Profundización 2),"Velar porque las leyes respeten la CPR, tarea del Tribunal Constitucional.",DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,JERARQUIA_NORMAS,CIVIL,INTERMEDIO
Escala de jerarquía normativa en Chile (Profundización 3),Constitución > Ley/DFL/DL > Potestad Reglamentaria > Actos privados.,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,JERARQUIA_NORMAS,CIVIL,BASICO
Supremacía Constitucional (Profundización 3),La Constitución es la norma suprema que subordina a todas las demás.,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,JERARQUIA_NORMAS,CIVIL,BASICO
Rango de Tratados de DD.HH. (Profundización 3),Rango constitucional o preferente según Art. 5 CPR.,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,JERARQUIA_NORMAS,CIVIL,AVANZADO
Jerarquía Ley vs Reglamento (Profundización 3),La ley prima sobre el reglamento en caso de contradicción.,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,JERARQUIA_NORMAS,CIVIL,INTERMEDIO
