pregunta,opcion_a,opcion_b,opcion_c,opcion_d,correcta,explicacion,rama,libro,titulo,materia,dificultad
"El término probatorio extraordinario procede para:","Rendir prueba fuera del territorio jurisdiccional del tribunal o fuera del país","Ampliar el plazo ordinario sin justificación","Rendir cualquier prueba dentro del territorio","Repetir prueba ya rendida",0,"Arts. 329-335 CPC: el extraordinario agrega días según la tabla de emplazamiento para prueba fuera del territorio del tribunal.",DERECHO_PROCESAL_CIVIL,LIBRO_II,TITULO_XI,De la recepción de la causa a prueba,2
"El término probatorio especial se concede cuando:","Durante el probatorio ocurre un entorpecimiento que impide rendir prueba (fuerza mayor, testigo inasistente)","Las partes lo piden sin justificación","El juez quiere ampliar el plazo de oficio","Se rinde prueba pericial compleja",0,"Arts. 339-340 CPC: el término especial compensa entorpecimientos específicos. Ej: testigo que no pudo declarar por enfermedad.",DERECHO_PROCESAL_CIVIL,LIBRO_II,TITULO_XI,De la recepción de la causa a prueba,2
"Las observaciones a la prueba pueden presentarse en:","10 días siguientes al vencimiento del término probatorio (art. 430 CPC)","5 días","3 días","15 días",0,"Art. 430 CPC: 10 días para que las partes analicen y argumenten sobre la prueba rendida. No son obligatorias.",DERECHO_PROCESAL_CIVIL,LIBRO_II,TITULO_XI,De la recepción de la causa a prueba,2
"Después de la citación a oír sentencia, las partes:","No pueden presentar más escritos ni rendir pruebas, salvo medidas para mejor resolver del tribunal","Pueden seguir presentando prueba libremente","Pueden modificar la demanda","Pueden allanarse pero no transigir",0,"Arts. 432-433 CPC: la citación cierra el debate. Solo el tribunal puede decretar medidas para mejor resolver (art. 159) de oficio.",DERECHO_PROCESAL_CIVIL,LIBRO_II,TITULO_XI,De la recepción de la causa a prueba,1
"Las medidas para mejor resolver del art. 159 CPC son:","Diligencias probatorias que el tribunal puede decretar de oficio después de la citación a oír sentencia","Pruebas que las partes rinden libremente","Medidas cautelares del demandante","Gestiones preparatorias del juicio",0,"Art. 159 CPC: agregación de documentos, confesión, inspección, peritos, testigos, presentación de autos. Son de oficio, no a petición de parte.",DERECHO_PROCESAL_CIVIL,LIBRO_II,TITULO_XI,De la recepción de la causa a prueba,2
"El plazo para dictar sentencia definitiva es de:","60 días desde que la causa quede en estado de sentencia (art. 162 CPC)","30 días","90 días","Sin plazo",0,"Art. 162 inc. 3 CPC: 60 días. Es plazo judicial (no fatal para el tribunal, pero su incumplimiento puede generar responsabilidad disciplinaria).",DERECHO_PROCESAL_CIVIL,LIBRO_II,TITULO_XI,De la recepción de la causa a prueba,2
"Si no hay hechos sustanciales, pertinentes y controvertidos:","El tribunal cita directamente a oír sentencia sin recibir la causa a prueba (art. 313 CPC)","El tribunal recibe la causa a prueba igualmente","El juicio se suspende hasta que surjan hechos controvertidos","Se declara desierta la instancia",0,"Art. 313 CPC: sin hechos controvertidos (por allanamiento total o por falta de controversia fáctica), se omite la etapa de prueba.",DERECHO_PROCESAL_CIVIL,LIBRO_II,TITULO_XI,De la recepción de la causa a prueba,2
"La conciliación NO procede en:","Juicios ejecutivos y juicios sin hechos controvertidos (art. 262 inc. 2 CPC)","Juicios ordinarios de mayor cuantía","Juicios sumarios","Juicios de arrendamiento",0,"Art. 262 inc. 2 CPC: excluye expresamente juicios ejecutivos. También se excluyen los del art. 313 (allanamiento, sin hechos controvertidos).",DERECHO_PROCESAL_CIVIL,LIBRO_II,TITULO_II,De la conciliación,2
"El auto de prueba es una resolución de tipo:","Sentencia interlocutoria (de segundo grado: sirve de base para la sentencia definitiva)","Sentencia definitiva","Decreto o providencia","Auto",0,"Art. 158 CPC: el auto de prueba resuelve un trámite que sirve de base para la sentencia definitiva. Es interlocutoria de 2° grado.",DERECHO_PROCESAL_CIVIL,LIBRO_II,TITULO_XI,De la recepción de la causa a prueba,2
"El término probatorio puede reducirse por:","Acuerdo unánime de las partes (art. 328 inc. 2 CPC)","Decisión unilateral del tribunal","Solicitud de una sola de las partes","Nunca puede reducirse",0,"Art. 328 inc. 2 CPC: las partes pueden reducirlo de común acuerdo. Pero NO pueden ampliarlo (improrrogable por su naturaleza legal).",DERECHO_PROCESAL_CIVIL,LIBRO_II,TITULO_XI,De la recepción de la causa a prueba,2
