pregunta,opcion_a,opcion_b,opcion_c,opcion_d,correcta,explicacion,rama,libro,titulo,materia,dificultad
"Si el demandado cambia de domicilio durante el juicio, ¿se traslada la causa?","No: la regla de radicación (art. 109 COT) impide alterar la competencia por causa sobreviniente","Sí, la causa se traslada automáticamente","Sí, si el demandado lo solicita","Solo si el tribunal lo autoriza",0,"Art. 109 COT: causa sobreviniente = no altera. El cambio de domicilio es posterior a la radicación.",DERECHO_ORGANICO,COT,TITULO_VII,De la radicación,2
"La regla de extensión permite al tribunal conocer de la reconvención porque:","Lo accesorio sigue la suerte de lo principal (art. 111 COT)","La reconvención es obligatoria en todo juicio","El tribunal de 2ª instancia lo ordena","Las partes lo acuerdan expresamente",0,"Art. 111 COT: la reconvención es accesoria al juicio principal. El mismo tribunal que conoce la demanda conoce la contrademanda.",DERECHO_ORGANICO,COT,TITULO_VII,De la extensión,2
"La regla de prevención se aplica cuando:","Dos o más tribunales son igualmente competentes para conocer del mismo asunto (competencia acumulativa)","Solo un tribunal es competente","Los tribunales son de distinta jerarquía","El asunto es de materia penal exclusivamente",0,"Art. 112 COT: presupone competencia acumulativa (varios tribunales competentes). El primero en conocer previene.",DERECHO_ORGANICO,COT,TITULO_VII,De la prevención,2
"La contienda entre un tribunal ordinario y una autoridad administrativa la resuelve:","El Senado (art. 53 Nº 3 CPR) o el TC según el caso","La Corte Suprema siempre","La Corte de Apelaciones","El Presidente de la República",0,"Art. 53 Nº 3 CPR: Senado resuelve contiendas entre autoridades políticas/administrativas y tribunales superiores de justicia.",DERECHO_ORGANICO,COT,TITULO_VII,De las contiendas de competencia,3
"Las cinco reglas generales de competencia se aplican:","Una vez determinada la competencia absoluta y relativa, como reglas complementarias de funcionamiento","Antes de determinar la competencia absoluta","Solo en materia penal","Solo en primera instancia",0,"Las reglas generales (radicación, grado, extensión, prevención, ejecución) operan DESPUÉS de determinar qué tribunal es competente.",DERECHO_ORGANICO,COT,TITULO_VII,De las reglas de competencia,1
"Si el tribunal que pronunció la sentencia en primera instancia ya no existe:","La ejecución corresponde al tribunal que lo haya reemplazado según la ley","La sentencia no puede ejecutarse","La ejecuta la Corte de Apelaciones","Se debe iniciar nuevo juicio",0,"Art. 113 COT: la ejecución sigue la regla general. Si el tribunal fue suprimido, su sucesor legal asume.",DERECHO_ORGANICO,COT,TITULO_VII,De la ejecución,2
"La declinatoria se tramita como:","Excepción dilatoria de incompetencia (art. 303 Nº 1 CPC)","Recurso de apelación","Recurso de casación","Incidente de nulidad",0,"Art. 101 CPC: la declinatoria es una forma de alegar incompetencia. Se opone como excepción dilatoria.",DERECHO_ORGANICO,COT,TITULO_VII,De la declinatoria,2
"Si dos tribunales se declaran incompetentes (contienda negativa):","Se resuelve por el superior jerárquico común para determinar cuál debe conocer","El asunto queda sin tribunal y se archiva","Las partes eligen libremente","Se sortea entre los dos",0,"Arts. 190-193 COT: el superior común resuelve cuál de los dos es competente. Ningún asunto queda sin tribunal (inexcusabilidad).",DERECHO_ORGANICO,COT,TITULO_VII,De las contiendas de competencia,2
"La regla del grado es de orden público, lo que significa que:","Las partes NO pueden alterar cuál tribunal conoce en segunda instancia; es automático","Las partes eligen el tribunal de alzada","Solo opera si ambas partes apelan","Se aplica solo en materia penal",0,"Art. 110 COT: de orden público. El tribunal de alzada es el inmediatamente superior en la jerarquía. Inalterable por las partes.",DERECHO_ORGANICO,COT,TITULO_VII,Del grado,2
"¿Puede la radicación impedir la acumulación de autos?","No: la acumulación de autos es una excepción legal a la radicación. Si hay juicios conexos ante distintos tribunales, pueden acumularse ante uno solo (art. 92 CPC)","Sí, la radicación es absoluta sin excepciones","Solo en materia penal","Solo con autorización de la CS",0,"Art. 92 CPC: la acumulación de autos es excepción reconocida a la radicación. También lo es el compromiso (arbitraje posterior).",DERECHO_ORGANICO,COT,TITULO_VII,De la radicación,3
