pregunta,opcion_a,opcion_b,opcion_c,opcion_d,correcta,explicacion,rama,libro,titulo,materia,dificultad
"La patria potestad según el art. 243 CC se refiere a:","Los derechos y deberes del padre o madre sobre los BIENES de sus hijos no emancipados","Los derechos sobre la persona del hijo: crianza, educación y corrección","Todos los derechos y deberes de los padres, tanto personales como patrimoniales","La representación del hijo ante los tribunales de justicia exclusivamente",0,"Art. 243 CC: la patria potestad es exclusivamente patrimonial: bienes del hijo. El cuidado personal (persona del hijo) es una institución distinta regulada en los arts. 224-228.",DERECHO_CIVIL,LIBRO_I,TITULO_X,De la patria potestad,1
"La patria potestad comprende:","Derecho legal de goce, administración de bienes y representación legal del hijo","Solo la administración de los bienes del hijo","Solo la representación legal del hijo en juicio","El cuidado personal y la educación del hijo",0,"Arts. 250-266 CC: tres atributos: 1) derecho legal de goce (usufructo, art. 252), 2) administración de bienes (art. 253), 3) representación legal (art. 260).",DERECHO_CIVIL,LIBRO_I,TITULO_X,De la patria potestad,1
"¿Sobre qué bienes NO recae el derecho legal de goce del padre o madre?","Los bienes del peculio profesional del hijo (adquiridos por su trabajo)","Los bienes inmuebles del hijo","Los bienes heredados del abuelo paterno","Los bienes muebles de valor superior a 50 UF",0,"Art. 250 Nº 1 CC: los bienes adquiridos por el hijo en ejercicio de empleo, oficio, profesión o industria (peculio profesional) quedan excluidos del derecho legal de goce.",DERECHO_CIVIL,LIBRO_I,TITULO_X,De la patria potestad,2
"Para enajenar o gravar bienes raíces del hijo, el padre o madre debe:","Obtener autorización judicial con conocimiento de causa","Obtener consentimiento del hijo si es mayor de 14 años","Inscribir la venta en el Conservador de Bienes Raíces con firma de ambos padres","Solicitar autorización al defensor de menores",0,"Art. 254 CC: no se pueden enajenar ni gravar los bienes raíces del hijo sin autorización del juez con conocimiento de causa. Esto protege el patrimonio del menor.",DERECHO_CIVIL,LIBRO_I,TITULO_X,De la patria potestad,2
"¿Cuál de las siguientes NO es causal de emancipación legal según el art. 270 CC?","El divorcio de los padres","La muerte del padre o madre (salvo que corresponda al otro)","El matrimonio del hijo","Haber cumplido 18 años",0,"El divorcio NO emancipa a los hijos. Las causales legales del art. 270 son: muerte, muerte presunta (posesión provisoria o definitiva), matrimonio del hijo y cumplir 18 años.",DERECHO_CIVIL,LIBRO_I,TITULO_X,De la patria potestad,2
"La emancipación según el art. 272 CC es:","Irrevocable, salvo la fundada en muerte presunta si reaparece el padre o madre","Siempre revocable por el juez","Revocable si el hijo lo solicita antes de cumplir 18","Automáticamente revocable si cesan las causales",0,"Art. 272 CC: toda emancipación es irrevocable. Excepción única: la fundada en muerte presunta del padre o madre, que se revoca si reaparece.",DERECHO_CIVIL,LIBRO_I,TITULO_X,De la patria potestad,2
"El menor emancipado que no ha cumplido 18 años:","Queda sujeto a guarda (tutela o curaduría)","Adquiere plena capacidad de ejercicio","Puede realizar cualquier acto jurídico por sí mismo","Vuelve a la patria potestad del otro padre",0,"Art. 273 CC: la emancipación pone fin a la patria potestad pero NO otorga capacidad al menor. El menor emancipado necesita un guardador hasta cumplir 18 años.",DERECHO_CIVIL,LIBRO_I,TITULO_X,De la patria potestad,2
"¿Cuál es la causal más común de emancipación legal?","Cumplir 18 años de edad","El matrimonio del hijo","La muerte de ambos padres","Decreto de posesión definitiva en muerte presunta",0,"Art. 270 Nº 3 CC: al cumplir 18 años opera la emancipación legal de pleno derecho, coincidiendo con la mayoría de edad. Es la causal más frecuente en la práctica.",DERECHO_CIVIL,LIBRO_I,TITULO_X,De la patria potestad,1
"En las acciones de filiación, ¿qué prueba tiene mayor valor probatorio?","Las pruebas periciales de carácter biológico (ADN)","La confesión del demandado","Los testimonios de familiares y vecinos","Las presunciones judiciales basadas en la convivencia",0,"Art. 199 CC: las pruebas biológicas tienen un valor decisivo en la práctica por su alta certeza (99.9% en ADN). La negativa a someterse genera presunción legal en contra.",DERECHO_CIVIL,LIBRO_I,TITULO_VIII,De las acciones de filiación,2
"El principio de corresponsabilidad parental implica que:","Ambos padres participan activa, equitativa y permanentemente en la crianza, vivan juntos o separados","Solo el padre que tiene el cuidado personal es responsable","Los padres se turnan semanalmente en el cuidado","El Estado asume la responsabilidad si los padres no cumplen",0,"Art. 224 CC (Ley 20.680): la corresponsabilidad supone participación activa de ambos progenitores. No significa custodia compartida necesariamente, sino involucramiento de ambos.",DERECHO_CIVIL,LIBRO_I,TITULO_IX,De los derechos y obligaciones entre los padres y los hijos,1
