model,id,own_rama,target_rama,aplica,confidence,razon,source
flashcard,cmn3wjwky01q0310zezxyhrwj,DERECHO_PROCESAL_CIVIL,DERECHO_CIVIL,true,high,"Ambas acciones son fundamentales en el CC y CPC, discutiendo propiedad y posesión.",openai
flashcard,cmn3wkbx301y9310z7uy0fsw9,DERECHO_PROCESAL_CIVIL,DERECHO_ORGANICO,true,high,La competencia de tribunales se regula en el COT y es esencial en el CPC.,openai
flashcard,cmnnwvrwg03ho540zm5ytly41,DERECHO_PROCESAL_CIVIL,DERECHO_CIVIL,true,high,"El concepto de interés jurídico es relevante en ambas ramas, especialmente en sucesiones.",openai
flashcard,cmnnwshjs01r7540zuxgn4n1q,DERECHO_CIVIL,DERECHO_PROCESAL_CIVIL,true,high,"La prueba de obligaciones es relevante en ambos códigos, civil y procesal.",openai
flashcard,cmnnwxtoa04kz540zy703gl9m,DERECHO_PROCESAL_CIVIL,DERECHO_ORGANICO,true,high,"La subrogación del juez se regula en el COT, por lo que aplica a ambas ramas.",openai
flashcard,cmno442d800cxos0zkbqd69zi,DERECHO_PROCESAL_CIVIL,DERECHO_CIVIL,true,high,El derecho de retención se regula en el CC y tiene efectos en el CPC.,openai
flashcard,cmnnwzdgq05ey540z3t6o2ob0,DERECHO_PROCESAL_CIVIL,DERECHO_ORGANICO,true,high,El ejercicio aborda temas del COT que son fundamentales en Derecho Orgánico.,openai
flashcard,cmnnwzfar05fx540zgklwxstu,DERECHO_PROCESAL_CIVIL,DERECHO_ORGANICO,true,high,"El ejercicio aborda la implicancia del juez, que es un tema del COT y afecta el CPC.",openai
flashcard,cmnnwzhoj05h7540z1ftmw9qj,DERECHO_PROCESAL_CIVIL,DERECHO_CIVIL,true,high,Las medidas conservativas del CC son fundamentales para entender las precautorias del CPC.,openai
flashcard,cmnnww6ok03pi540zfozf9lid,DERECHO_ORGANICO,DERECHO_PROCESAL_CIVIL,true,high,La nulidad por incompetencia territorial se relaciona con el CPC y su procedimiento.,openai
flashcard,cmnnwyl0u04zp540zyyd7hbe0,DERECHO_ORGANICO,DERECHO_CIVIL,true,high,La tradición y su inscripción son conceptos clave en ambos códigos.,openai
flashcard,cmnnwyp2d051s540z061k01ry,DERECHO_ORGANICO,DERECHO_PROCESAL_CIVIL,true,high,Los auxiliares mencionados son fundamentales en el CPC para el juicio ejecutivo.,openai
flashcard,cmnnwyp64051u540z9qje6s6j,DERECHO_ORGANICO,DERECHO_PROCESAL_CIVIL,true,high,"El ejercicio trata sobre notificaciones, que son relevantes en ambas ramas.",openai
flashcard,cmnnwwsq2041a540z2u3aagdb,DERECHO_ORGANICO,DERECHO_CIVIL,true,high,"La determinación de competencia por naturaleza de la pretensión es regla fundamental en CC (arts. 1-3, 104-112) y COT. Ambas ramas sustancialmente tratan cómo clasificar pretensiones civiles.",haiku_pass2
flashcard,cmnnwwsmc0418540zvh1yde4g,DERECHO_ORGANICO,DERECHO_CIVIL,true,high,"Los asuntos de familia también tienen implicancias en el Derecho Civil, como la filiación y alimentos.",openai
flashcard,cmn3whp2x00jx310zlbc6n1mo,DERECHO_CIVIL,DERECHO_PROCESAL_CIVIL,true,high,El incidente de nulidad y el emplazamiento son temas de ambas ramas.,openai
flashcard,cmn3wkc6701ye310zuy37m3cr,DERECHO_CIVIL,DERECHO_PROCESAL_CIVIL,true,high,Ambas nulidades son interdependientes en el contexto de un proceso judicial.,openai
flashcard,cmnnwvq1503gn540zao0wjyyl,DERECHO_PROCESAL_CIVIL,DERECHO_CIVIL,true,high,Los actos no contenciosos son relevantes en Derecho Civil al afectar sucesiones y particiones.,openai
flashcard,cmnnwyl9z04zu540zq3pn3i8z,DERECHO_ORGANICO,DERECHO_PROCESAL_CIVIL,true,high,"Los receptores son clave en el juicio ejecutivo, que es parte del CPC.",openai
flashcard,cmnnwyz8c0579540zhfz81nzh,DERECHO_ORGANICO,DERECHO_PROCESAL_CIVIL,true,high,El tema de la nulidad de notificaciones es relevante en ambas ramas.,openai
flashcard,cmnnwz0v30585540zulech3pu,DERECHO_ORGANICO,DERECHO_PROCESAL_CIVIL,true,high,"Las inhabilidades afectan directamente el procedimiento civil, conectando ambas ramas.",openai
flashcard,cmn3wkn0l0246310z6fm7smgw,DERECHO_CIVIL,DERECHO_ORGANICO,true,high,La prórroga de competencia es un tema que se regula en el COT y afecta el Derecho Civil.,openai
flashcard,cmnnwyiuw04yj540z5omzbx7o,DERECHO_ORGANICO,DERECHO_CIVIL,true,high,"La escritura pública es relevante en ambos códigos, especialmente en actos civiles.",openai
flashcard,cmnnwtidv02aw540z0l8g66wi,DERECHO_PROCESAL_CIVIL,DERECHO_ORGANICO,true,high,La subrogación de jueces está regulada en ambos cuerpos normativos.,openai
mcq,cmn172y8i007up50zen82gu07,DERECHO_PROCESAL_CIVIL,DERECHO_CIVIL,true,high,Interdictos posesorios son institución dual: regulados en CPC (procedimiento) pero sustancialmente en CC (arts. 916-922). Requiere conocimiento de ambas ramas.,haiku_pass3
mcq,cmn174uie00yrp50zl20xx33k,DERECHO_PROCESAL_CIVIL,DERECHO_ORGANICO,true,high,Competencia de la Corte Suprema es materia sustancial de COT. Art. 767 CPC remite a estructura orgánica y competencia definida en COT.,haiku_pass2
mcq,cmn17dmry007hy40zfiv7mo5p,DERECHO_ORGANICO,DERECHO_PROCESAL_CIVIL,false,high,"Ejercicio específico sobre recursos contra sentencias del TOP (Tribunal Oral en lo Penal). Regulación sustancial en CPP arts. 372-387. CPC tiene régimen distinto de recursos (apelación, casación). Sin",haiku_pass3
mcq,cmn3wjsuz01o0310zxexljklx,DERECHO_PROCESAL_CIVIL,DERECHO_ORGANICO,true,high,"Casación en el fondo es competencia exclusiva de CS (art. 767 CPC), pero su regulación orgánica y competencia están en COT arts. 82-83. Ambas ramas sustancialmente.",haiku_pass2
mcq,cmn3wjxz001qr310znk0529zh,DERECHO_PROCESAL_CIVIL,DERECHO_CIVIL,true,high,Las acciones posesorias y reivindicatorias son relevantes en CC y CPC.,openai
mcq,cmn3wknxr024o310z3ceg5pln,DERECHO_PROCESAL_CIVIL,DERECHO_ORGANICO,true,high,"La prórroga de competencia se regula en ambos cuerpos legales, COT y CPC.",openai
mcq,cmno43qw10077os0zqr5ddgsk,DERECHO_ORGANICO,DERECHO_PROCESAL_CIVIL,true,high,"El recurso de revisión es parte del CPC y afecta la cosa juzgada, relevante en ambos campos.",openai
mcq,cmnnwwtd0041m540zaefce7fz,DERECHO_ORGANICO,DERECHO_CIVIL,true,high,"Los temas de familia también están en el Código Civil, como matrimonio y filiación.",openai
mcq,cmnnwwxt70441540zhan84l9e,DERECHO_ORGANICO,DERECHO_PROCESAL_CIVIL,true,high,La incompetencia del tribunal afecta tanto al COT como al CPC en el proceso judicial.,openai
trueFalse,cmn3wjzao01rh310zqdu47nee,DERECHO_PROCESAL_CIVIL,DERECHO_CIVIL,true,high,La acción reivindicatoria se relaciona con el dominio en el CC y la posesión en el CPC.,openai
trueFalse,cmnnwth9j02aa540z3cs9udpz,DERECHO_PROCESAL_CIVIL,DERECHO_ORGANICO,true,high,"Contienda de competencia es institución procesal regulada sustancialmente en COT (arts. 187-192). El ejercicio trata reglas de competencia de tribunales, materia propia de COT.",haiku_pass2
trueFalse,cmnnwwtrz041u540zwr1pi24z,DERECHO_ORGANICO,DERECHO_CIVIL,true,high,"VIF involucra relaciones familiares (matrimonio, convivencia) reguladas sustancialmente en CC. Competencia (COT) y sustancia (CC) son inseparables aquí.",haiku_pass2
trueFalse,cmno442y800d7os0zks3rrdzk,DERECHO_PROCESAL_CIVIL,DERECHO_CIVIL,true,high,"La retención tiene efectos en ambas ramas, como garantía real en CPC y CC.",openai
trueFalse,cmnnwvqvv03h4540zlvvef2m6,DERECHO_PROCESAL_CIVIL,DERECHO_CIVIL,true,high,Ambos conceptos son regulados en el CC y tienen implicancias procesales en el CPC.,openai
definicion,cmn3wdm6w00qnza0z29uli2b9,DERECHO_PROCESAL_CIVIL,DERECHO_CIVIL,true,high,Las excepciones perentorias afectan derechos sustantivos del CC y se usan en CPC.,openai
definicion,cmnnwtfdu0299540zh4zmugzk,DERECHO_PROCESAL_CIVIL,DERECHO_ORGANICO,true,high,"La vía inhibitoria es un mecanismo procesal de competencia regulado sustancialmente en COT (arts. 102-109), no solo en CPC. Pertenece al régimen orgánico de competencia.",haiku_pass2
definicion,cmnnwwryp040v540z1wcyeam6,DERECHO_ORGANICO,DERECHO_CIVIL,true,medium,El Tribunal de familia trata temas de derecho civil como matrimonio y filiación.,openai
definicion,cmnnwyon8051k540z1vwd6t21,DERECHO_ORGANICO,DERECHO_PROCESAL_CIVIL,true,high,"Los auxiliares en juicio ejecutivo son relevantes en ambas ramas, COT y CPC.",openai
definicion,cmnnwyop3051l540zpfr1q8z8,DERECHO_ORGANICO,DERECHO_CIVIL,true,high,La cadena título-modo es fundamental en Derecho Civil para la transmisión de propiedad.,openai
definicion,cmnnwziz305hv540z1w681i40,DERECHO_PROCESAL_CIVIL,DERECHO_ORGANICO,true,medium,La competencia también se relaciona con la estructura de los tribunales en el COT.,openai
flashcard,cmn3wgxf3005l310zhuv1alqa,DERECHO_CIVIL,DERECHO_PROCESAL_CIVIL,true,high,La interrupción de la prescripción se relaciona con la demanda judicial en CPC.,openai
flashcard,cmn173ize00fnp50z8e86bzjg,DERECHO_PROCESAL_CIVIL,DERECHO_ORGANICO,true,high,El receptor judicial es relevante en ambas ramas por su función en el proceso judicial.,openai
flashcard,cmn172vq6006rp50z0fkrt7jl,DERECHO_PROCESAL_CIVIL,DERECHO_CIVIL,false,high,"El ejercicio trata exclusivamente procedimiento sumario (CPC art. 680). CC no regula tramitación procesal, solo sustancia de contratos y derechos.",haiku_pass3
flashcard,cmn3wh86m00ba310zl0a6i9v4,DERECHO_PROCESAL_CIVIL,DERECHO_CIVIL,true,high,"La prescripción es un tema central en ambos códigos, afectando derechos y acciones.",openai
flashcard,cmn3wjm7q01kh310zzic52dpy,DERECHO_PROCESAL_CIVIL,DERECHO_ORGANICO,true,high,"Casación es recurso procesal (CPC) pero su conocimiento corresponde a Corte Suprema, cuya competencia, composición y funcionamiento se regulan en COT. Ambas ramas sustancialmente relevantes.",haiku_pass2
flashcard,cmn172q1p004ap50zi6nf1gjp,DERECHO_PROCESAL_CIVIL,DERECHO_CIVIL,true,high,La tercería de posesión involucra conceptos de posesión del CC y su aplicación en el CPC.,openai
flashcard,cmn172qct004fp50zmlp8dt52,DERECHO_PROCESAL_CIVIL,DERECHO_CIVIL,false,high,"Las tercerías de prelación y pago son institutos procesales puros (tramitación, plazos, procedimiento). El CC solo define derechos sustantivos de acreedores; la regulación procesal es exclusiva del CP",haiku_pass3
flashcard,cmn3wh2nb008d310zotirkpy7,DERECHO_CIVIL,DERECHO_PROCESAL_CIVIL,true,high,La interrupción de la prescripción involucra aspectos de procedimiento civil.,openai
flashcard,cmn172wqf0075p50zckc5l4gt,DERECHO_PROCESAL_CIVIL,DERECHO_CIVIL,true,high,Interdictos posesorios son acciones reales civiles (CC arts. 916-928) cuya tramitación procesal se regula en CPC. Ambas ramas son sustanciales.,haiku_pass3
flashcard,cmnnwtndq02dg540zcdzr6084,DERECHO_PROCESAL_CIVIL,DERECHO_ORGANICO,true,high,Implicancia/recusación y auto/interlocutoria son instituciones procesales reguladas sustancialmente en COT (arts. 195-214 y 181-182). El ejercicio integrador toca núcleo de ambas ramas.,haiku_pass2
flashcard,cmnnwxnt904hu540zv5lop2w9,DERECHO_PROCESAL_CIVIL,DERECHO_ORGANICO,true,high,"Los juzgados de letras son órganos jurisdiccionales regulados sustancialmente en COT (arts. 13-17, 32-33). El ejercicio trata su competencia y estructura, temas centrales de COT.",haiku_pass2
flashcard,cmnnwyj3y04yo540ztyp6roc7,DERECHO_PROCESAL_CIVIL,DERECHO_ORGANICO,true,high,"Los notarios son regulados en el COT, por lo que el tema es relevante en ambas ramas.",openai
flashcard,cmnnwzf0p05fs540z5qlrnsuz,DERECHO_PROCESAL_CIVIL,DERECHO_ORGANICO,true,high,La competencia absoluta del COT afecta directamente el procedimiento del CPC.,openai
flashcard,cmnnwtq6i02es540zohtip4bx,DERECHO_PROCESAL_CIVIL,DERECHO_CIVIL,true,high,"Las excepciones dilatorias conectan con normas del Código Civil, como la fianza.",openai
flashcard,cmnnwwhix03v8540zqtekow4u,DERECHO_ORGANICO,DERECHO_CIVIL,true,high,"Jurisdicción voluntaria regula actos civiles (muerte presunta, posesión efectiva, cambio de nombre, inventario) cuya sustancia está en CC. CPC solo fija procedimiento; CC define derechos y efectos civ",haiku_pass2
flashcard,cmnnwwk7403wo540zlpk7uqmv,DERECHO_ORGANICO,DERECHO_PROCESAL_CIVIL,true,high,"Conecta conceptos del COT con normas del CPC y CC, mostrando su interrelación.",openai
flashcard,cmnnwwk8z03wp540zz6xl5q1c,DERECHO_ORGANICO,DERECHO_CIVIL,true,high,"Los equivalentes jurisdiccionales (arbitraje, mediación) se regulan en CPC pero su aplicabilidad depende de derechos disponibles/indisponibles, concepto sustancial del CC (estado civil, alimentos, der",haiku_pass2
flashcard,cmnnwyas704u5540zzdvwdtc0,DERECHO_ORGANICO,DERECHO_CIVIL,true,high,"Arbitraje prohibido es materia sustancial del CC (arts. 227, 230, 2670-2680). Estado civil, alimentos y representación legal son instituciones civiles cuya arbitrabilidad se regula en ambos códigos.",haiku_pass2
flashcard,cmn3wkcha01yk310zbh9kk4db,DERECHO_CIVIL,DERECHO_PROCESAL_CIVIL,true,high,El abandono del procedimiento es un tema relevante en CPC y afecta la prescripción en CC.,openai
flashcard,cmnnwt0650214540zqc2wmx8z,DERECHO_PROCESAL_CIVIL,DERECHO_ORGANICO,true,high,Receptor judicial es figura regulada en COT (arts. 318-329) como auxiliar de justicia. Notificaciones son procedimiento tanto CPC como COT.,haiku_pass2
flashcard,cmno43pjc006gos0z0zn850ug,DERECHO_ORGANICO,DERECHO_PROCESAL_CIVIL,true,high,El ejercicio menciona recursos del CPC que son relevantes en el contexto del COT.,openai
flashcard,cmnnxdw7u00our30z5ag7myq0,DERECHO_CIVIL,DERECHO_PROCESAL_CIVIL,true,high,"El secuestro tiene relevancia en ambas ramas, civil y procesal.",openai
flashcard,cmnnwyv7f0554540z3dkptb47,DERECHO_ORGANICO,DERECHO_PROCESAL_CIVIL,true,high,El abandono de la recusación se relaciona directamente con el CPC y su procedimiento.,openai
flashcard,cmnnxdwd800oxr30z0uzue5jv,DERECHO_CIVIL,DERECHO_PROCESAL_CIVIL,true,high,El secuestro judicial de inmuebles es relevante en CPC como medida precautoria.,openai
flashcard,cmnnwyj2604yn540zkn23sn5q,DERECHO_ORGANICO,DERECHO_CIVIL,true,high,La compraventa de inmuebles es un tema central en Derecho Civil y Derecho Orgánico.,openai
flashcard,cmnnwtiqp02b3540zhq4wpl2e,DERECHO_PROCESAL_CIVIL,DERECHO_ORGANICO,true,high,"El ejercicio aborda causales en COT y procedimiento en CPC, conectando ambas ramas.",openai
mcq,cmn16po1r00tmfp0z2rq169ph,DERECHO_CIVIL,DERECHO_PROCESAL_CIVIL,true,high,El juicio reivindicatorio es un tema que conecta CC y CPC en su procedimiento.,openai
mcq,cmn1741lb00n5p50zc1bsl7wh,DERECHO_PROCESAL_CIVIL,DERECHO_CIVIL,false,high,Ejercicio sobre procedimiento y abandono (institución procesal pura del CPC). No trata sustancia civil; solo menciona CPC. Clasificación correcta en CPC.,haiku_pass3
mcq,cmn17e92n00gdy40z0vkyv4zu,DERECHO_ORGANICO,DERECHO_PROCESAL_CIVIL,true,high,"La recusación amistosa se regula en el CPC, por lo que aplica a ambas ramas.",openai
mcq,cmn3wkiz3021z310zg0f2m7iq,DERECHO_CIVIL,DERECHO_ORGANICO,false,high,"Subrogación legal es institución sustantiva del CC. COT no regula subrogación. Solo menciona COT si hay proceso judicial, pero eso es accidental.",haiku_pass3
