model,id,rule,old_rama,old_libro,old_titulo,new_rama,new_titulo,esIntegrador,note
flashcard,cmn3wh2b80087310zr09x8jkq,R8,DERECHO_CIVIL,CODIGO_CIVIL,LIBRO_IV,DERECHO_CIVIL,LIBRO_IV,false,sin match — revisar manualmente
flashcard,cmn3wgqtu0022310zttoj2ric,R8,DERECHO_CIVIL,LEY_17336,TITULO_V,DERECHO_CIVIL,TITULO_V,false,sin match — revisar manualmente
flashcard,cmn3wh8dy00be310z4gz7j3pc,R8,DERECHO_PROCESAL_CIVIL,CPC,LIBRO_II,DERECHO_PROCESAL_CIVIL,LIBRO_II,false,sin match — revisar manualmente
flashcard,cmn3wgqvx0023310z39p18nzr,R8,DERECHO_CIVIL,LEY_17336,TITULO_V,DERECHO_CIVIL,TITULO_V,false,sin match — revisar manualmente
flashcard,cmn3wh2dz0088310zwr0ec5s1,R8,DERECHO_CIVIL,CODIGO_CIVIL,LIBRO_IV,DERECHO_CIVIL,LIBRO_IV,false,sin match — revisar manualmente
flashcard,cmn3wgqxs0024310z9vm0mwgx,RM,DERECHO_PROCESAL_CIVIL,MODULO_DIARIO,FORMATO_B,DERECHO_PROCESAL_CIVIL,FORMATO_B,false,metadata no-ejercicio — revisar
flashcard,cmn3wgqzq0025310zq97ch2mm,RM,DERECHO_PROCESAL_CIVIL,MODULO_DIARIO,FORMATO_B,DERECHO_PROCESAL_CIVIL,FORMATO_B,false,metadata no-ejercicio — revisar
flashcard,cmn3wgr1p0026310z7bk8jq8s,RM,DERECHO_PROCESAL_CIVIL,MODULO_DIARIO,FORMATO_A,DERECHO_PROCESAL_CIVIL,FORMATO_A,false,metadata no-ejercicio — revisar
flashcard,cmn3wgr3m0027310z7aulmifx,RM,DERECHO_PROCESAL_CIVIL,MODULO_DIARIO,FORMATO_B,DERECHO_PROCESAL_CIVIL,FORMATO_B,false,metadata no-ejercicio — revisar
flashcard,cmn3wgr5g0028310z2hjbhahy,RM,DERECHO_PROCESAL_CIVIL,MODULO_DIARIO,FORMATO_C,DERECHO_PROCESAL_CIVIL,FORMATO_C,false,metadata no-ejercicio — revisar
flashcard,cmn3wgr7b0029310z1gox3qps,RM,DERECHO_PROCESAL_CIVIL,MODULO_DIARIO,FORMATO_D,DERECHO_PROCESAL_CIVIL,FORMATO_D,false,metadata no-ejercicio — revisar
flashcard,cmn3wgrcp002c310znia2towq,R8,DERECHO_CIVIL,LEY_17336,TITULO_II,DERECHO_CIVIL,TITULO_II,false,sin match — revisar manualmente
flashcard,cmn3wgr94002a310zf6h035gr,RM,DERECHO_PROCESAL_CIVIL,MODULO_DIARIO,CITACION,DERECHO_PROCESAL_CIVIL,CITACION,false,metadata no-ejercicio — revisar
flashcard,cmn3wgraw002b310z76uc80sw,RM,DERECHO_PROCESAL_CIVIL,MODULO_DIARIO,REVISTA,DERECHO_PROCESAL_CIVIL,REVISTA,false,metadata no-ejercicio — revisar
flashcard,cmn3wgrej002d310zsqr7kpm3,R8,DERECHO_PROCESAL_CIVIL,MODULO_DIARIO,REGLAS,DERECHO_PROCESAL_CIVIL,REGLAS,false,sin match — revisar manualmente
flashcard,cmn3wgrgf002e310z5eq3xd4u,R8,DERECHO_CIVIL,LEY_17336,TITULO_II,DERECHO_CIVIL,TITULO_II,false,sin match — revisar manualmente
flashcard,cmn3wgria002f310zrz7ygbsi,RM,DERECHO_PROCESAL_CIVIL,MODULO_DIARIO,INTEGRACION,DERECHO_PROCESAL_CIVIL,INTEGRACION,false,metadata no-ejercicio — revisar
flashcard,cmn3wgrk7002g310zw9y8qsa3,RM,DERECHO_PROCESAL_CIVIL,MODULO_DIARIO,INTEGRACION,DERECHO_PROCESAL_CIVIL,INTEGRACION,false,metadata no-ejercicio — revisar
flashcard,cmn3zgqg4001kqk0zo1ijsu4j,R1,DERECHO_PROCESAL_CIVIL,MODULO_DIARIO,JURISPRUDENCIA,DERECHO_PROCESAL_CIVIL,JURISPRUDENCIA,true,Integrador
flashcard,cmn3zgqji001mqk0zot28s3hd,R1,DERECHO_PROCESAL_CIVIL,MODULO_DIARIO,JURISPRUDENCIA,DERECHO_PROCESAL_CIVIL,JURISPRUDENCIA,true,Integrador
flashcard,cmn3wh8hn00bg310zjdai5u2s,R8,DERECHO_PROCESAL_CIVIL,CPC,LIBRO_II,DERECHO_PROCESAL_CIVIL,LIBRO_II,false,sin match — revisar manualmente
flashcard,cmn3wh8jg00bh310z7uk89c9x,R8,DERECHO_PROCESAL_CIVIL,CPC,LIBRO_II,DERECHO_PROCESAL_CIVIL,LIBRO_II,false,sin match — revisar manualmente
flashcard,cmn3zgqvm001tqk0zkcu1mfvh,R1,DERECHO_PROCESAL_CIVIL,MODULO_DIARIO,JURISPRUDENCIA,DERECHO_PROCESAL_CIVIL,JURISPRUDENCIA,true,Integrador
flashcard,cmn3zgr2l001xqk0z9ln0s69n,RM,DERECHO_PROCESAL_CIVIL,MODULO_DIARIO,CITACION,DERECHO_PROCESAL_CIVIL,CITACION,false,metadata no-ejercicio — revisar
flashcard,cmn3zgr4b001yqk0z5jvy583g,RM,DERECHO_PROCESAL_CIVIL,MODULO_DIARIO,CITACION,DERECHO_PROCESAL_CIVIL,CITACION,false,metadata no-ejercicio — revisar
flashcard,cmn3zgr61001zqk0zh8b983km,RM,DERECHO_PROCESAL_CIVIL,MODULO_DIARIO,CITACION,DERECHO_PROCESAL_CIVIL,CITACION,false,metadata no-ejercicio — revisar
flashcard,cmn3zgr7r0020qk0z4ytrdor7,RM,DERECHO_PROCESAL_CIVIL,MODULO_DIARIO,REVISTA,DERECHO_PROCESAL_CIVIL,REVISTA,false,metadata no-ejercicio — revisar
flashcard,cmn3wh2jm008b310zqsq753ky,R8,DERECHO_CIVIL,CODIGO_CIVIL,LIBRO_IV,DERECHO_CIVIL,LIBRO_IV,false,sin match — revisar manualmente
flashcard,cmn3wh2uk008h310zdqqwg9v6,R8,DERECHO_CIVIL,CODIGO_CIVIL,LIBRO_IV,DERECHO_CIVIL,LIBRO_IV,false,sin match — revisar manualmente
flashcard,cmn3wh2wc008i310z41lldwx4,R8,DERECHO_CIVIL,CODIGO_CIVIL,LIBRO_IV,DERECHO_CIVIL,LIBRO_IV,false,sin match — revisar manualmente
flashcard,cmn3whj3q00h6310zw90kyh6c,R8,DERECHO_CIVIL,CODIGO_CIVIL,LIBRO_IV,DERECHO_CIVIL,LIBRO_IV,false,sin match — revisar manualmente
flashcard,cmn3whtbf00m7310zakysw17i,R8,DERECHO_CIVIL,CODIGO_CIVIL,LIBRO_IV,DERECHO_CIVIL,LIBRO_IV,false,sin match — revisar manualmente
flashcard,cmn3wikfr010v310zvr61x43r,R8,DERECHO_CIVIL,CODIGO_CIVIL,LIBRO_I,DERECHO_CIVIL,LIBRO_I,false,sin match — revisar manualmente
flashcard,cmn3wi4en00s6310zyodz4iw4,R8,DERECHO_CIVIL,CODIGO_CIVIL,LIBRO_IV,DERECHO_CIVIL,LIBRO_IV,false,sin match — revisar manualmente
flashcard,cmn3wi4k300s9310zlt121q9n,R8,DERECHO_CIVIL,CODIGO_CIVIL,LIBRO_IV,DERECHO_CIVIL,LIBRO_IV,false,sin match — revisar manualmente
flashcard,cmn3wiedx00xk310z2b4gohmz,R8,DERECHO_CIVIL,CODIGO_CIVIL,LIBRO_IV,DERECHO_CIVIL,LIBRO_IV,false,sin match — revisar manualmente
flashcard,cmn3wifhz00y6310zb0axdp1j,R8,DERECHO_CIVIL,CODIGO_CIVIL,LIBRO_IV,DERECHO_CIVIL,LIBRO_IV,false,sin match — revisar manualmente
flashcard,cmn3wiujx0162310zf4u52pp9,R8,DERECHO_CIVIL,CODIGO_CIVIL,LIBRO_IV,DERECHO_CIVIL,LIBRO_IV,false,sin match — revisar manualmente
flashcard,cmn3wiupg0165310zq8vosakw,R8,DERECHO_CIVIL,CODIGO_CIVIL,LIBRO_IV,DERECHO_CIVIL,LIBRO_IV,false,sin match — revisar manualmente
flashcard,cmn3wiut20167310z2xh6k5ky,R8,DERECHO_CIVIL,CODIGO_CIVIL,LIBRO_IV,DERECHO_CIVIL,LIBRO_IV,false,sin match — revisar manualmente
flashcard,cmn3wiur90166310zyr0rzz06,R8,DERECHO_CIVIL,CODIGO_CIVIL,LIBRO_IV,DERECHO_CIVIL,LIBRO_IV,false,sin match — revisar manualmente
flashcard,cmn3wj0oc0195310z6zdlqjbb,R8,DERECHO_CIVIL,CODIGO_CIVIL,LIBRO_IV,DERECHO_CIVIL,LIBRO_IV,false,sin match — revisar manualmente
flashcard,cmn3wj0q70196310za56gv8oj,R8,DERECHO_CIVIL,CODIGO_CIVIL,LIBRO_IV,DERECHO_CIVIL,LIBRO_IV,false,sin match — revisar manualmente
flashcard,cmn3wjhfj01hz310zo1rdttkn,R8,DERECHO_CIVIL,CODIGO_CIVIL,LIBRO_II,DERECHO_CIVIL,LIBRO_II,false,sin match — revisar manualmente
flashcard,cmn3wjh8901hv310z5tvueu4r,R8,DERECHO_CIVIL,CODIGO_CIVIL,LIBRO_II,DERECHO_CIVIL,LIBRO_II,false,sin match — revisar manualmente
flashcard,cmn3wjhdq01hy310zhrui0oq3,R8,DERECHO_CIVIL,CODIGO_CIVIL,LIBRO_II,DERECHO_CIVIL,LIBRO_II,false,sin match — revisar manualmente
flashcard,cmn3wjhkz01i2310zk4lq6ngn,R8,DERECHO_CIVIL,CODIGO_CIVIL,LIBRO_II,DERECHO_CIVIL,LIBRO_II,false,sin match — revisar manualmente
flashcard,cmn3wjhms01i3310zzylbpcaj,R8,DERECHO_CIVIL,CODIGO_CIVIL,LIBRO_II,DERECHO_CIVIL,LIBRO_II,false,sin match — revisar manualmente
flashcard,cmn3wk7ur01w2310zcoklt3ha,R8,DERECHO_CIVIL,CODIGO_CIVIL,LIBRO_IV,DERECHO_CIVIL,LIBRO_IV,false,sin match — revisar manualmente
flashcard,cmn3wk7r301w0310z3rjo0272,R8,DERECHO_CIVIL,CODIGO_CIVIL,LIBRO_IV,DERECHO_CIVIL,LIBRO_IV,false,sin match — revisar manualmente
flashcard,cmn3wk7wl01w3310zpkgzvwbb,R8,DERECHO_CIVIL,CODIGO_CIVIL,LIBRO_IV,DERECHO_CIVIL,LIBRO_IV,false,sin match — revisar manualmente
flashcard,cmn3wkhap0212310zp76vt3wo,R8,DERECHO_CIVIL,CODIGO_CIVIL,LIBRO_IV,DERECHO_CIVIL,LIBRO_IV,false,sin match — revisar manualmente
flashcard,cmn3wkh57020z310zhxuie2lu,R8,DERECHO_CIVIL,CODIGO_CIVIL,LIBRO_IV,DERECHO_CIVIL,LIBRO_IV,false,sin match — revisar manualmente
flashcard,cmn3wkhcj0213310zk2aghajq,R8,DERECHO_CIVIL,CODIGO_CIVIL,LIBRO_IV,DERECHO_CIVIL,LIBRO_IV,false,sin match — revisar manualmente
flashcard,cmn3wkhlq0218310zviurejml,R8,DERECHO_CIVIL,CODIGO_CIVIL,LIBRO_III,DERECHO_CIVIL,LIBRO_III,false,sin match — revisar manualmente
flashcard,cmn3zgr9g0021qk0z0wegla4r,RM,DERECHO_PROCESAL_CIVIL,MODULO_DIARIO,FORMATO_DEBATE,DERECHO_PROCESAL_CIVIL,FORMATO_DEBATE,false,metadata no-ejercicio — revisar
flashcard,cmn3zgrb40022qk0z3dg18xh6,R8,DERECHO_PROCESAL_CIVIL,MODULO_DIARIO,REGLAS,DERECHO_PROCESAL_CIVIL,REGLAS,false,sin match — revisar manualmente
flashcard,cmn3zgrcu0023qk0z0qwqpb3c,RM,DERECHO_PROCESAL_CIVIL,MODULO_DIARIO,INTEGRACION,DERECHO_PROCESAL_CIVIL,INTEGRACION,false,metadata no-ejercicio — revisar
flashcard,cmn3zgrg90025qk0zl4i2gk7y,RM,DERECHO_PROCESAL_CIVIL,MODULO_DIARIO,INTEGRACION,DERECHO_PROCESAL_CIVIL,INTEGRACION,false,metadata no-ejercicio — revisar
flashcard,cmn3zgri00026qk0z79839weg,RM,DERECHO_PROCESAL_CIVIL,MODULO_DIARIO,PUBLICACION,DERECHO_PROCESAL_CIVIL,PUBLICACION,false,metadata no-ejercicio — revisar
flashcard,cmn3zgrjp0027qk0zzh3hpbaa,RM,DERECHO_PROCESAL_CIVIL,MODULO_DIARIO,FORMATO_D,DERECHO_PROCESAL_CIVIL,FORMATO_D,false,metadata no-ejercicio — revisar
flashcard,cmn3zgrlf0028qk0zt5gpreh2,RM,DERECHO_PROCESAL_CIVIL,MODULO_DIARIO,INTEGRACION,DERECHO_PROCESAL_CIVIL,INTEGRACION,false,metadata no-ejercicio — revisar
flashcard,cmn3zgrn60029qk0zueile3gz,RM,DERECHO_PROCESAL_CIVIL,MODULO_DIARIO,REVISTA,DERECHO_PROCESAL_CIVIL,REVISTA,false,metadata no-ejercicio — revisar
flashcard,cmn3zgrox002aqk0zdk6rl5o2,R8,DERECHO_PROCESAL_CIVIL,MODULO_DIARIO,REGLAS,DERECHO_PROCESAL_CIVIL,REGLAS,false,sin match — revisar manualmente
flashcard,cmn3wjmgv01km310z3tb76q61,R8,DERECHO_PROCESAL_CIVIL,CPC,LIBRO_I,DERECHO_PROCESAL_CIVIL,LIBRO_I,false,sin match — revisar manualmente
flashcard,cmn3wh7hx00ax310zag1innii,R8,DERECHO_PROCESAL_CIVIL,CPC,LIBRO_II,DERECHO_PROCESAL_CIVIL,LIBRO_II,false,sin match — revisar manualmente
flashcard,cmn3wh7ll00az310zpbj5fupm,R8,DERECHO_PROCESAL_CIVIL,CPC,LIBRO_III,DERECHO_PROCESAL_CIVIL,LIBRO_III,false,sin match — revisar manualmente
flashcard,cmn3wh7nw00b0310zb57zupok,R8,DERECHO_PROCESAL_CIVIL,CPC,LIBRO_III,DERECHO_PROCESAL_CIVIL,LIBRO_III,false,sin match — revisar manualmente
flashcard,cmn3wh7ro00b2310zzjrfr595,R8,DERECHO_PROCESAL_CIVIL,CPC,LIBRO_II,DERECHO_PROCESAL_CIVIL,LIBRO_II,false,sin match — revisar manualmente
flashcard,cmn3wh7vn00b4310zzhgsjorq,R8,DERECHO_PROCESAL_CIVIL,CPC,LIBRO_II,DERECHO_PROCESAL_CIVIL,LIBRO_II,false,sin match — revisar manualmente
flashcard,cmn3wh7xi00b5310zuqq14zp9,R8,DERECHO_PROCESAL_CIVIL,CPC,LIBRO_II,DERECHO_PROCESAL_CIVIL,LIBRO_II,false,sin match — revisar manualmente
flashcard,cmn3wh7zb00b6310zuc70kmda,R8,DERECHO_PROCESAL_CIVIL,CPC,LIBRO_II,DERECHO_PROCESAL_CIVIL,LIBRO_II,false,sin match — revisar manualmente
flashcard,cmn3wh81500b7310zevim8qaf,R8,DERECHO_PROCESAL_CIVIL,CPC,LIBRO_II,DERECHO_PROCESAL_CIVIL,LIBRO_II,false,sin match — revisar manualmente
flashcard,cmn3wh82z00b8310z3ax0jbqi,R8,DERECHO_PROCESAL_CIVIL,CPC,LIBRO_II,DERECHO_PROCESAL_CIVIL,LIBRO_II,false,sin match — revisar manualmente
flashcard,cmn3wh84s00b9310zky1lwefc,R8,DERECHO_PROCESAL_CIVIL,CPC,LIBRO_II,DERECHO_PROCESAL_CIVIL,LIBRO_II,false,sin match — revisar manualmente
flashcard,cmn3wh88f00bb310zglwadf6j,R8,DERECHO_PROCESAL_CIVIL,CPC,LIBRO_II,DERECHO_PROCESAL_CIVIL,LIBRO_II,false,sin match — revisar manualmente
flashcard,cmn3wh7eb00av310zckvegjr1,R8,DERECHO_PROCESAL_CIVIL,CPC,LIBRO_II,DERECHO_PROCESAL_CIVIL,LIBRO_II,false,sin match — revisar manualmente
flashcard,cmn3wh7g300aw310zyu05ex6h,R8,DERECHO_PROCESAL_CIVIL,CPC,LIBRO_II,DERECHO_PROCESAL_CIVIL,LIBRO_II,false,sin match — revisar manualmente
flashcard,cmn3wh7js00ay310zef4595xn,R8,DERECHO_PROCESAL_CIVIL,CPC,LIBRO_II,DERECHO_PROCESAL_CIVIL,LIBRO_II,false,sin match — revisar manualmente
flashcard,cmn3wh7pv00b1310zggbb9fgf,R8,DERECHO_PROCESAL_CIVIL,CPC,LIBRO_II,DERECHO_PROCESAL_CIVIL,LIBRO_II,false,sin match — revisar manualmente
flashcard,cmn3wh86m00ba310zl0a6i9v4,R8,DERECHO_PROCESAL_CIVIL,CPC,LIBRO_II,DERECHO_PROCESAL_CIVIL,LIBRO_II,false,sin match — revisar manualmente
flashcard,cmn3wh8lb00bi310zbsquf1jn,R8,DERECHO_PROCESAL_CIVIL,CPC,LIBRO_II,DERECHO_PROCESAL_CIVIL,LIBRO_II,false,sin match — revisar manualmente
flashcard,cmn3whoit00jm310z6cthinhd,R8,DERECHO_PROCESAL_CIVIL,CPC,LIBRO_III,DERECHO_PROCESAL_CIVIL,LIBRO_III,false,sin match — revisar manualmente
flashcard,cmn3whomj00jo310zxdpf2mz4,R8,DERECHO_PROCESAL_CIVIL,CPC,LIBRO_III,DERECHO_PROCESAL_CIVIL,LIBRO_III,false,sin match — revisar manualmente
flashcard,cmn3whoq600jq310znrzfp9z6,R8,DERECHO_PROCESAL_CIVIL,CPC,LIBRO_III,DERECHO_PROCESAL_CIVIL,LIBRO_III,false,sin match — revisar manualmente
flashcard,cmn3whorz00jr310z4m9ny3k1,R8,DERECHO_PROCESAL_CIVIL,CPC,LIBRO_III,DERECHO_PROCESAL_CIVIL,LIBRO_III,false,sin match — revisar manualmente
flashcard,cmn3who4400jf310zmg4eo41c,R8,DERECHO_PROCESAL_CIVIL,CPC,LIBRO_I,DERECHO_PROCESAL_CIVIL,LIBRO_I,false,sin match — revisar manualmente
flashcard,cmn3who5y00jg310zzxnzxlu1,R8,DERECHO_PROCESAL_CIVIL,CPC,LIBRO_I,DERECHO_PROCESAL_CIVIL,LIBRO_I,false,sin match — revisar manualmente
flashcard,cmn3who7u00jh310zlwoligs8,R8,DERECHO_PROCESAL_CIVIL,CPC,LIBRO_I,DERECHO_PROCESAL_CIVIL,LIBRO_I,false,sin match — revisar manualmente
flashcard,cmn3whod800jj310z7ouiuzbh,R8,DERECHO_PROCESAL_CIVIL,CPC,LIBRO_I,DERECHO_PROCESAL_CIVIL,LIBRO_I,false,sin match — revisar manualmente
flashcard,cmn3whof200jk310zwju5i2vy,R8,DERECHO_PROCESAL_CIVIL,CPC,LIBRO_I,DERECHO_PROCESAL_CIVIL,LIBRO_I,false,sin match — revisar manualmente
flashcard,cmn3whogy00jl310zjpw9wv04,R8,DERECHO_PROCESAL_CIVIL,CPC,LIBRO_I,DERECHO_PROCESAL_CIVIL,LIBRO_I,false,sin match — revisar manualmente
flashcard,cmn3whokn00jn310zg86cg0pz,R8,DERECHO_PROCESAL_CIVIL,CPC,LIBRO_III,DERECHO_PROCESAL_CIVIL,LIBRO_III,false,sin match — revisar manualmente
flashcard,cmn3whovm00jt310zdodgsauc,R8,DERECHO_PROCESAL_CIVIL,CPC,LIBRO_I,DERECHO_PROCESAL_CIVIL,LIBRO_I,false,sin match — revisar manualmente
flashcard,cmn3whoxf00ju310z2gy7oubz,R8,DERECHO_PROCESAL_CIVIL,CPC,LIBRO_I,DERECHO_PROCESAL_CIVIL,LIBRO_I,false,sin match — revisar manualmente
flashcard,cmn3whp1300jw310zxrlyrehi,R8,DERECHO_PROCESAL_CIVIL,CPC,LIBRO_III,DERECHO_PROCESAL_CIVIL,LIBRO_III,false,sin match — revisar manualmente
flashcard,cmn3whp8j00k0310z63u3oqar,R8,DERECHO_PROCESAL_CIVIL,CPC,LIBRO_III,DERECHO_PROCESAL_CIVIL,LIBRO_III,false,sin match — revisar manualmente
flashcard,cmn3wjluz01ka310z8348kaq9,R8,DERECHO_PROCESAL_CIVIL,CPC,LIBRO_II,DERECHO_PROCESAL_CIVIL,LIBRO_II,false,sin match — revisar manualmente
flashcard,cmn3wjlwt01kb310zo8dht2cp,R8,DERECHO_PROCESAL_CIVIL,CPC,LIBRO_II,DERECHO_PROCESAL_CIVIL,LIBRO_II,false,sin match — revisar manualmente
flashcard,cmn3wjm2a01ke310zt8kf4k29,R8,DERECHO_PROCESAL_CIVIL,CPC,LIBRO_III,DERECHO_PROCESAL_CIVIL,LIBRO_III,false,sin match — revisar manualmente
flashcard,cmn3whp4u00jy310z70k04ulc,R8,DERECHO_PROCESAL_CIVIL,CPC,LIBRO_III,DERECHO_PROCESAL_CIVIL,LIBRO_III,false,sin match — revisar manualmente
flashcard,cmn3wjm5x01kg310zwmdik48b,R8,DERECHO_PROCESAL_CIVIL,CPC,LIBRO_III,DERECHO_PROCESAL_CIVIL,LIBRO_III,false,sin match — revisar manualmente
flashcard,cmn3wjm7q01kh310zzic52dpy,R8,DERECHO_PROCESAL_CIVIL,CPC,LIBRO_III,DERECHO_PROCESAL_CIVIL,LIBRO_III,false,sin match — revisar manualmente
flashcard,cmn3wjm9j01ki310zrtvhiugl,R8,DERECHO_PROCESAL_CIVIL,CPC,LIBRO_III,DERECHO_PROCESAL_CIVIL,LIBRO_III,false,sin match — revisar manualmente
flashcard,cmn3wjmbd01kj310z9h6od3ff,R8,DERECHO_PROCESAL_CIVIL,CPC,LIBRO_II,DERECHO_PROCESAL_CIVIL,LIBRO_II,false,sin match — revisar manualmente
flashcard,cmn3wjmd601kk310zzmbk2liz,R8,DERECHO_PROCESAL_CIVIL,CPC,LIBRO_I,DERECHO_PROCESAL_CIVIL,LIBRO_I,false,sin match — revisar manualmente
flashcard,cmn3wjmf301kl310z63ltb3f4,R8,DERECHO_PROCESAL_CIVIL,CPC,LIBRO_I,DERECHO_PROCESAL_CIVIL,LIBRO_I,false,sin match — revisar manualmente
flashcard,cmn3whp6r00jz310zvf64ipzc,R8,DERECHO_PROCESAL_CIVIL,CPC,LIBRO_I,DERECHO_PROCESAL_CIVIL,LIBRO_I,false,sin match — revisar manualmente
flashcard,cmn3wjmq101kr310z4vhabffl,R8,DERECHO_PROCESAL_CIVIL,CPC,LIBRO_III,DERECHO_PROCESAL_CIVIL,LIBRO_III,false,sin match — revisar manualmente
flashcard,cmn3wjriu01na310zd25psrfc,R8,DERECHO_PROCESAL_CIVIL,CPC,LIBRO_III,DERECHO_PROCESAL_CIVIL,LIBRO_III,false,sin match — revisar manualmente
flashcard,cmn3wjxcm01qf310z7ng6t4rb,R8,DERECHO_PROCESAL_CIVIL,CPC,LIBRO_II,DERECHO_PROCESAL_CIVIL,LIBRO_II,false,sin match — revisar manualmente
flashcard,cmn3wjrh001n9310zjovgha6e,R8,DERECHO_PROCESAL_CIVIL,CPC,LIBRO_III,DERECHO_PROCESAL_CIVIL,LIBRO_III,false,sin match — revisar manualmente
flashcard,cmn3wjror01nd310zerqcqfr8,R8,DERECHO_PROCESAL_CIVIL,CPC,LIBRO_III,DERECHO_PROCESAL_CIVIL,LIBRO_III,false,sin match — revisar manualmente
