model,id,rule,titulo,new_parrafo,note
flashcard,cmn16o36m005yfp0z3xjjqc4o,P5,LI_T2,,2 matches — ambiguo
flashcard,cmn16o38c005zfp0zumamymfp,P3,LI_T2,LI_T2_P3,"override: ""desaparecido"""
flashcard,cmn16o3a20060fp0z5txj57f1,P5,LI_T2,,0 matches — ambiguo
flashcard,cmn16o3bs0061fp0zbkwvlut6,P3,LI_T2,LI_T2_P3,"override: ""desaparecido"""
flashcard,cmn16o3dh0062fp0zqzvaxqwy,P3,LI_T2,LI_T2_P3,"override: ""desaparecido"""
flashcard,cmn16o3jj0064fp0zs8vztslq,P3,LI_T2,LI_T2_P1,"override: ""existencia natural"""
flashcard,cmn16o3qk0068fp0z4e68d80a,P4,LI_T1,LI_T1_P4,dominant keyword (3 vs 1)
flashcard,cmn16o99n008gfp0zpkqfdfgn,P1,LI_T3,,titulo sin párrafos
flashcard,cmn16o9bd008hfp0zezd6acvz,P1,LI_T3,,titulo sin párrafos
flashcard,cmn16o9d2008ifp0zd5rrei36,P1,LI_T3,,titulo sin párrafos
flashcard,cmn16o9et008jfp0z1msnvr9a,P1,LI_T3,,titulo sin párrafos
flashcard,cmn16o9gj008kfp0zszxt1prw,P1,LI_T4,,titulo sin párrafos
flashcard,cmn16o9t1008pfp0zximr8zy3,P1,LI_T4,,titulo sin párrafos
flashcard,cmn16o9pj008nfp0z62200ki6,P1,LI_T4,,titulo sin párrafos
flashcard,cmn16o9uq008qfp0zl7rr39px,P1,LI_T4,,titulo sin párrafos
flashcard,cmn16o9wg008rfp0zp2591xl5,P1,LI_T4,,titulo sin párrafos
flashcard,cmn16oa2a008sfp0zgqu2z0be,P1,LI_T4,,titulo sin párrafos
flashcard,cmn16oa3z008tfp0zt7bu6qpa,P1,LI_T4,,titulo sin párrafos
flashcard,cmn16oa7f008vfp0zghndnk6w,P1,LI_T4,,titulo sin párrafos
flashcard,cmn16oa96008wfp0zxomstktk,P1,LI_T4,,titulo sin párrafos
flashcard,cmn16oaaw008xfp0za7btdrc6,P1,LI_T4,,titulo sin párrafos
flashcard,cmn16oaf6008yfp0zqlctnlts,P1,LI_T4,,titulo sin párrafos
flashcard,cmn16oagw008zfp0zkjsgdh7o,P1,LI_T4,,titulo sin párrafos
flashcard,cmn16oain0090fp0z6vzca2ma,P1,LI_T4,,titulo sin párrafos
flashcard,cmn16oakh0091fp0zoac6p2gt,P1,LI_T4,,titulo sin párrafos
flashcard,cmn16oam70092fp0z0023kw33,P1,LI_T4,,titulo sin párrafos
flashcard,cmn16oanx0093fp0znpnc4y9z,P1,LI_T4,,titulo sin párrafos
flashcard,cmn16oato0094fp0zl4m8il39,P1,LI_T4,,titulo sin párrafos
flashcard,cmnnxe13e00rcr30zoqdnvld4,P1,LIV_T24,,titulo sin párrafos
flashcard,cmnnwp8gn000n540znpg2splb,P3,LI_T6,LI_T6_P5,"override: ""separación judicial"""
flashcard,cmn16oaz00097fp0zhqxgltu3,P1,LI_T4,,titulo sin párrafos
flashcard,cmn16ob0q0098fp0zb11rs6k1,P1,LI_T4,,titulo sin párrafos
flashcard,cmn16ob2f0099fp0zozboyrpr,P1,LI_T4,,titulo sin párrafos
flashcard,cmn16ob46009afp0za0w9sg95,P1,LI_T4,,titulo sin párrafos
flashcard,cmn16ob9y009bfp0zpcuj4z7n,P1,LI_T5,,titulo sin párrafos
flashcard,cmn16obbo009cfp0zcx7f9avo,P1,LI_T5,,titulo sin párrafos
flashcard,cmn16obdf009dfp0z3gigd2ag,P1,LI_T5,,titulo sin párrafos
flashcard,cmn16obf5009efp0z6s0jma7j,P1,LI_T5,,titulo sin párrafos
flashcard,cmn16obgv009ffp0z3hphzjww,P1,LI_T5,,titulo sin párrafos
flashcard,cmn16obim009gfp0zvjm096wz,P1,LI_T5,,titulo sin párrafos
flashcard,cmn16obom009ifp0z3jikhbdl,P1,LI_T5,,titulo sin párrafos
flashcard,cmn16obqd009jfp0z08ckigeg,P1,LI_T5,,titulo sin párrafos
flashcard,cmn16obs4009kfp0ze8dzfnty,P1,LI_T5,,titulo sin párrafos
flashcard,cmn16obvm009mfp0z4mlqecki,P1,LI_T5,,titulo sin párrafos
flashcard,cmn16oc1g009nfp0zoygzd3ho,P1,LI_T5,,titulo sin párrafos
flashcard,cmn16oc39009ofp0zv2zjgo40,P1,LI_T5,,titulo sin párrafos
flashcard,cmn16ohpa00bxfp0zeov3ysa7,P5,LI_T7,,2 matches — ambiguo
flashcard,cmn16ohr100byfp0z50b11cd3,P5,LI_T7,,2 matches — ambiguo
flashcard,cmn16ohss00bzfp0zl17qhava,P5,LI_T7,,2 matches — ambiguo
flashcard,cmn16ohuk00c0fp0z68qr2n0w,P3,LI_T7,LI_T7_P3,"override: ""filiación matrimonial"""
flashcard,cmn16ohwa00c1fp0zalfd6o7v,P6,LI_T7,LI_T7_P1,fallback a reglas generales
flashcard,cmn16ohy100c2fp0z9844ds6y,P3,LI_T7,LI_T7_P3,"override: ""filiación matrimonial"""
flashcard,cmn16ohzr00c3fp0zxtccmhrw,P3,LI_T7,LI_T7_P4,"override: ""filiación no matrimonial"""
flashcard,cmn16oi5i00c4fp0z19ivqyjz,P6,LI_T7,LI_T7_P1,fallback a reglas generales
flashcard,cmn16oi7900c5fp0z7cqfgr4p,P6,LI_T7,LI_T7_P1,fallback a reglas generales
flashcard,cmn16oi9200c6fp0zd006sy9h,P6,LI_T7,LI_T7_P1,fallback a reglas generales
flashcard,cmn16oiau00c7fp0z7tm9wd91,P6,LI_T7,LI_T7_P1,fallback a reglas generales
flashcard,cmn16oick00c8fp0z7mr203sf,P5,LI_T8,,2 matches — ambiguo
flashcard,cmn16oiie00c9fp0zp70ppyl4,P4,LI_T8,LI_T8_P2,keyword match
flashcard,cmn16oik400cafp0zodpmikrc,P4,LI_T8,LI_T8_P2,keyword match
flashcard,cmn16oilv00cbfp0zys92fug3,P4,LI_T8,LI_T8_P2,keyword match
flashcard,cmn16oinl00ccfp0zwf1fcvpd,P4,LI_T8,LI_T8_P2,dominant keyword (2 vs 1)
flashcard,cmn16oipa00cdfp0ziuczuvpo,P5,LI_T8,,2 matches — ambiguo
flashcard,cmn16oir100cefp0zwl0iu5qm,P6,LI_T8,LI_T8_P1,fallback a reglas generales
flashcard,cmn16oisq00cffp0zf03k4efq,P4,LI_T8,LI_T8_P3,keyword match
flashcard,cmn16oiwy00cgfp0znwji2u1m,P6,LI_T8,LI_T8_P1,fallback a reglas generales
flashcard,cmnnwp8mb000q540zlz6fsoak,P3,LI_T6,LI_T6_P5,"override: ""separación judicial"""
flashcard,cmn16oj3y00ckfp0zblhadn7a,P1,LI_T9,,titulo sin párrafos
flashcard,cmn16oj5o00clfp0z4z7hsa6s,P1,LI_T9,,titulo sin párrafos
flashcard,cmn16oj7d00cmfp0z5tieb7uh,P1,LI_T9,,titulo sin párrafos
flashcard,cmn16ojd800cnfp0zh6mbhviq,P1,LI_T9,,titulo sin párrafos
flashcard,cmn16ojez00cofp0zbeuqbw4t,P1,LI_T9,,titulo sin párrafos
flashcard,cmn16ojgq00cpfp0z2wnz0wmm,P4,LI_T10,LI_T10_P2,dominant keyword (4 vs 2)
flashcard,cmn16ojih00cqfp0zpuufs0i1,P4,LI_T10,LI_T10_P2,dominant keyword (6 vs 2)
flashcard,cmn16ojk600crfp0z1rcth5jn,P4,LI_T10,LI_T10_P4,keyword match
flashcard,cmn16ojlw00csfp0z9gsympc6,P5,LI_T10,,3 matches — ambiguo
flashcard,cmn16ojq400ctfp0z21fegrad,P4,LI_T10,LI_T10_P2,dominant keyword (4 vs 2)
flashcard,cmn16ojtl00cvfp0zp7q06kuv,P4,LI_T10,LI_T10_P4,dominant keyword (2 vs 1)
flashcard,cmn16ojve00cwfp0zqgh0n363,P4,LI_T10,LI_T10_P4,dominant keyword (2 vs 1)
flashcard,cmn16ojx400cxfp0zyi4mhq2t,P4,LI_T10,LI_T10_P4,dominant keyword (2 vs 1)
flashcard,cmn16ojyu00cyfp0zexwr7cpl,P4,LI_T10,LI_T10_P2,dominant keyword (2 vs 1)
flashcard,cmn16ok9z00czfp0z9fajnp7a,P4,LI_T10,LI_T10_P5,keyword match
flashcard,cmn16okbq00d0fp0z1jywb714,P4,LI_T10,LI_T10_P5,keyword match
flashcard,cmn16okdk00d1fp0zroevu254,P4,LI_T10,LI_T10_P4,dominant keyword (2 vs 1)
flashcard,cmn16oq9k00f7fp0z9qgskc46,P1,LI_T17,,titulo sin párrafos
flashcard,cmn16oqgg00fbfp0zuek5ujak,P1,LI_T17,,titulo sin párrafos
flashcard,cmn16oqlo00fcfp0zhku9fpfs,P1,LI_T18,,titulo sin párrafos
flashcard,cmn16oqnf00fdfp0z6izid5ng,P1,LI_T18,,titulo sin párrafos
flashcard,cmn16oqp700fefp0zwscbdjnq,P1,LI_T18,,titulo sin párrafos
flashcard,cmn16oqqx00fffp0z9o3b6dgj,P1,LI_T18,,titulo sin párrafos
flashcard,cmn16oqsn00fgfp0zlcr8bolk,P1,LI_T18,,titulo sin párrafos
flashcard,cmn16oquf00fhfp0z7794phi3,P1,LI_T18,,titulo sin párrafos
flashcard,cmn16oqw500fifp0zd940f58q,P1,LI_T18,,titulo sin párrafos
flashcard,cmn16or1w00fjfp0z74wqfw8l,P1,LI_T18,,titulo sin párrafos
flashcard,cmn16or3k00fkfp0zt0up6mmb,P1,LI_T18,,titulo sin párrafos
flashcard,cmn16or5900flfp0zhlkjatau,P6,LI_T19,LI_T19_P1,fallback a reglas generales
flashcard,cmn16or6z00fmfp0z4qrg8lqn,P5,LI_T19,,3 matches — ambiguo
flashcard,cmn16or8p00fnfp0zisxclt2z,P5,LI_T19,,3 matches — ambiguo
flashcard,cmn16oraf00fofp0ze4nbhjd7,P5,LI_T19,,3 matches — ambiguo
flashcard,cmn16oreu00fpfp0ze6lmonqm,P5,LI_T19,,3 matches — ambiguo
flashcard,cmn16orgk00fqfp0zhzjwcogy,P6,LI_T19,LI_T19_P1,fallback a reglas generales
flashcard,cmn16oria00frfp0zj05qycca,P6,LI_T19,LI_T19_P1,fallback a reglas generales
flashcard,cmn16ork000fsfp0ztpgpebq1,P1,LI_T25,,titulo sin párrafos
flashcard,cmn17de800040y40zanqe4qto,P1,COT_T3,,titulo sin párrafos
flashcard,cmn16orp600fvfp0z48gath7b,P5,LI_T33,,0 matches — ambiguo
flashcard,cmn16ortb00fwfp0zkxpb4n6s,P4,LI_T33,LI_T33_P1,keyword match
flashcard,cmn16orv000fxfp0zssi9emde,P5,LI_T33,,0 matches — ambiguo
flashcard,cmn16orwq00fyfp0z7fovnt9x,P4,LI_T33,LI_T33_P1,keyword match
flashcard,cmn16oryh00fzfp0zglmrriaf,P4,LI_T33,LI_T33_P1,keyword match
flashcard,cmn16os0700g0fp0zwf73p8wg,P5,LI_T33,,0 matches — ambiguo
flashcard,cmn16os1x00g1fp0zo4lep3kt,P5,LI_T33,,0 matches — ambiguo
flashcard,cmn16osdk00g2fp0z5of1xhcc,P5,LI_T33,,0 matches — ambiguo
flashcard,cmn16osfa00g3fp0znzi1vqh3,P5,LI_T33,,0 matches — ambiguo
flashcard,cmn16oxza00idfp0zuah2z892,P5,LII_T1,,2 matches — ambiguo
flashcard,cmn16oy1000iefp0z79e6hw94,P4,LII_T1,LII_T1_P1,keyword match
flashcard,cmn16oy2q00iffp0z0zqnkg5c,P3,LII_T1,LII_T1_P2,"override: ""derechos personales"""
flashcard,cmn16oy4f00igfp0zk1tzh9r2,P3,LII_T1,LII_T1_P2,"override: ""derechos reales"""
flashcard,cmn16oy6600ihfp0z56yh466u,P5,LII_T1,,0 matches — ambiguo
flashcard,cmn16oyad00iifp0zkaoobn7z,P3,LII_T1,LII_T1_P2,"override: ""derechos reales"""
flashcard,cmn16oyc300ijfp0zaf5f6m68,P3,LII_T1,LII_T1_P2,"override: ""derechos personales"""
flashcard,cmn16oyds00ikfp0zwpa0ybs6,P5,LII_T1,,2 matches — ambiguo
flashcard,cmn16oyfj00ilfp0ztfn4ltvb,P5,LII_T1,,2 matches — ambiguo
flashcard,cmn16oyha00imfp0zy9u76gvb,P5,LII_T1,,2 matches — ambiguo
flashcard,cmn16oyiz00infp0zg62akf5c,P5,LII_T1,,2 matches — ambiguo
flashcard,cmnnws4ic01k6540zstbmt7yy,P1,TP_1,,titulo sin párrafos
flashcard,cmn16ozaf00j0fp0zef5735jn,P6,LII_T2,LII_T2_P1,fallback a reglas generales
flashcard,cmn16oyqn00iqfp0zhd7lcbnt,P5,LII_T1,,2 matches — ambiguo
flashcard,cmn16oysb00irfp0zxjju9mqa,P5,LII_T1,,2 matches — ambiguo
flashcard,cmn16oyu100isfp0zp1rgxwiw,P5,LII_T1,,0 matches — ambiguo
flashcard,cmn16oyvs00itfp0z9zd163xp,P5,LII_T1,,2 matches — ambiguo
flashcard,cmn16oyxh00iufp0zthajnaac,P5,LII_T1,,2 matches — ambiguo
flashcard,cmn16oyz600ivfp0zfybkderl,P4,LII_T2,LII_T2_P3,keyword match
flashcard,cmn16oz3i00iwfp0znjhfb8d9,P3,LII_T2,LII_T2_P1,"override: ""atributos del dominio"""
flashcard,cmn16oz6x00iyfp0zwi2r8jkz,P4,LII_T2,LII_T2_P3,keyword match
flashcard,cmn16oz8m00izfp0zevq9c5gz,P4,LII_T2,LII_T2_P3,keyword match
flashcard,cmn16ozdu00j2fp0z2juszh5z,P6,LII_T2,LII_T2_P1,fallback a reglas generales
flashcard,cmn16ozj000j3fp0zda0aqr8s,P6,LII_T2,LII_T2_P1,fallback a reglas generales
flashcard,cmn16ozkq00j4fp0zb6iq9d1c,P6,LII_T2,LII_T2_P1,fallback a reglas generales
flashcard,cmn16ozmh00j5fp0zlu1q2l0d,P6,LII_T2,LII_T2_P1,fallback a reglas generales
flashcard,cmn16ozp600j6fp0z4d4y3nhu,P6,LII_T2,LII_T2_P1,fallback a reglas generales
flashcard,cmn16ozqv00j7fp0zhvh2ekrm,P6,LII_T2,LII_T2_P1,fallback a reglas generales
flashcard,cmn16ozwv00j8fp0z43g4dt60,P6,LII_T2,LII_T2_P1,fallback a reglas generales
flashcard,cmn16p04m00jcfp0zlmq9lmz5,P1,LII_T3,,titulo sin párrafos
flashcard,cmn16p06c00jdfp0zr14ksqyw,P1,LII_T3,,titulo sin párrafos
flashcard,cmn16p0g500jefp0zycax6ie5,P1,LII_T3,,titulo sin párrafos
flashcard,cmn16p0hw00jffp0z1yxd7fkz,P5,LII_T1,,2 matches — ambiguo
flashcard,cmn16p0jn00jgfp0zwwwvy1zj,P3,LII_T1,LII_T1_P2,"override: ""derechos reales"""
flashcard,cmn16p0lf00jhfp0zhnkrzaea,P3,LII_T2,LII_T2_P2,"override: ""copropiedad"""
flashcard,cmn16p0rl00jjfp0zv55mmmm6,P3,LII_T2,LII_T2_P3,"override: ""propiedad fiduciaria"""
flashcard,cmn16p66r00lufp0zfqz7bfhw,P1,LII_T4,,titulo sin párrafos
flashcard,cmn16p68l00lvfp0zg6zfw3zr,P1,LII_T4,,titulo sin párrafos
flashcard,cmn16p6dn00lwfp0zkc7zl5i6,P1,LII_T4,,titulo sin párrafos
flashcard,cmn16p6fd00lxfp0zf6fvzxv1,P1,LII_T4,,titulo sin párrafos
flashcard,cmn16p6h200lyfp0zhlm43e4h,P1,LII_T4,,titulo sin párrafos
flashcard,cmn16p6ir00lzfp0z75albgjd,P1,LII_T4,,titulo sin párrafos
flashcard,cmn16p6kh00m0fp0zjm5tioto,P4,LII_T5,LII_T5_P3,dominant keyword (2 vs 1)
flashcard,cmn16p6m700m1fp0zto5x4ft9,P5,LII_T5,,3 matches — ambiguo
flashcard,cmn16p6nw00m2fp0zh4qb0xfm,P4,LII_T5,LII_T5_P3,dominant keyword (2 vs 1)
flashcard,cmn16p6s700m3fp0znd8dmls9,P5,LII_T5,,0 matches — ambiguo
flashcard,cmn16p6tw00m4fp0zohfvvqm3,P5,LII_T5,,0 matches — ambiguo
flashcard,cmn16p6z400m7fp0z873xnluv,P4,LII_T6,LII_T6_P2,dominant keyword (2 vs 1)
flashcard,cmn16p70t00m8fp0zqyueii69,P5,LII_T6,,2 matches — ambiguo
flashcard,cmn16p72j00m9fp0zdsuxqfpn,P5,LII_T6,,2 matches — ambiguo
flashcard,cmn16p76r00mafp0zoozt06sj,P5,LII_T6,,2 matches — ambiguo
flashcard,cmn16p78i00mbfp0zh03ra0nv,P4,LII_T6,LII_T6_P2,dominant keyword (2 vs 1)
flashcard,cmn16p7a700mcfp0z2yv12bup,P4,LII_T6,LII_T6_P2,dominant keyword (2 vs 1)
flashcard,cmn16p7bx00mdfp0zrra0u3wm,P4,LII_T6,LII_T6_P2,dominant keyword (2 vs 1)
flashcard,cmn16p7dm00mefp0ztg5rvun9,P4,LII_T6,LII_T6_P2,dominant keyword (2 vs 1)
flashcard,cmn16p7g300mffp0zup3q6h1v,P5,LII_T6,,2 matches — ambiguo
flashcard,cmn16p7m600mgfp0zz4aeft7c,P5,LII_T6,,2 matches — ambiguo
flashcard,cmn16p7nv00mhfp0zzdtibsbg,P5,LII_T7,,2 matches — ambiguo
flashcard,cmn16p7pk00mifp0zw3dy87o8,P5,LII_T7,,2 matches — ambiguo
flashcard,cmn16p7ra00mjfp0ztxv4cbxy,P5,LII_T7,,2 matches — ambiguo
flashcard,cmn16p7t100mkfp0zv5nh8axe,P5,LII_T7,,0 matches — ambiguo
flashcard,cmn16p7uq00mlfp0zyodejs32,P3,LII_T7,LII_T7_P1,"override: ""posesión regular"""
flashcard,cmn16p7zx00mmfp0zr6mkoldw,P5,LII_T7,,0 matches — ambiguo
flashcard,cmn16p81m00mnfp0zvig652eo,P5,LII_T7,,0 matches — ambiguo
flashcard,cmn16p83b00mofp0z4w2ey9kj,P3,LII_T7,LII_T7_P1,"override: ""posesión regular"""
flashcard,cmn16p85100mpfp0zwkwshp7j,P5,LII_T7,,2 matches — ambiguo
flashcard,cmn16p8a600msfp0zg9apt0jq,P4,LII_T7,LII_T7_P1,dominant keyword (2 vs 1)
flashcard,cmn16p8eg00mtfp0zvkevcz7t,P4,LII_T7,LII_T7_P2,dominant keyword (2 vs 1)
flashcard,cmn16p8g600mufp0z1bvk3wmc,P3,LII_T7,LII_T7_P1,"override: ""posesión regular"""
flashcard,cmn16p8id00mvfp0z89bhx6j3,P5,LII_T7,,2 matches — ambiguo
flashcard,cmn16pdsw00p5fp0zuvr2pe0h,P1,LII_T8,,titulo sin párrafos
flashcard,cmn16pdum00p6fp0zdyqzwa6j,P1,LII_T8,,titulo sin párrafos
flashcard,cmn16pdwd00p7fp0z2x7q38ek,P1,LII_T8,,titulo sin párrafos
flashcard,cmn16pdy300p8fp0z0ykash4q,P1,LII_T8,,titulo sin párrafos
flashcard,cmn16pe2c00p9fp0z3i857hxp,P1,LII_T8,,titulo sin párrafos
flashcard,cmn16pe4100pafp0z5isbyqm2,P1,LII_T8,,titulo sin párrafos
flashcard,cmn16pe5r00pbfp0zhofgmqpe,P1,LII_T8,,titulo sin párrafos
flashcard,cmn16pe7h00pcfp0zzmtqrpe9,P1,LII_T9,,titulo sin párrafos
flashcard,cmn16pe9600pdfp0z0jn2465j,P1,LII_T9,,titulo sin párrafos
flashcard,cmn16peaw00pefp0z7idfx7k2,P1,LII_T9,,titulo sin párrafos
flashcard,cmn16pecl00pffp0zmjflljp4,P1,LII_T9,,titulo sin párrafos
flashcard,cmn16pegx00pgfp0zg2jr8283,P1,LII_T9,,titulo sin párrafos
flashcard,cmn16pein00phfp0z6v3fle9v,P1,LII_T9,,titulo sin párrafos
flashcard,cmn16pekd00pifp0zhxa2o75b,P1,LII_T9,,titulo sin párrafos
flashcard,cmn16pem400pjfp0zv8hyvzmp,P1,LII_T9,,titulo sin párrafos
flashcard,cmn16penv00pkfp0z3xwast6v,P1,LII_T9,,titulo sin párrafos
flashcard,cmn16pevh00pnfp0zsib3lxym,P1,LII_T10,,titulo sin párrafos
flashcard,cmn16pex600pofp0z7ovpnqnh,P1,LII_T10,,titulo sin párrafos
flashcard,cmn16peyv00ppfp0zy87afnpq,P5,LII_T11,,0 matches — ambiguo
flashcard,cmn16pf0u00pqfp0zh4rfmvf1,P5,LII_T11,,0 matches — ambiguo
flashcard,cmn16pf2i00prfp0zn3vy4k2c,P5,LII_T11,,4 matches — ambiguo
flashcard,cmn16pf4600psfp0zbrkks8db,P3,LII_T11,LII_T11_P2,"override: ""servidumbre de tránsito"""
flashcard,cmn16pf5w00ptfp0zuvw9f8us,P5,LII_T11,,4 matches — ambiguo
flashcard,cmn16pfbp00pufp0zipliw0e1,P5,LII_T11,,4 matches — ambiguo
flashcard,cmn16pfdg00pvfp0z2n9izye2,P3,LII_T11,LII_T11_P2,"override: ""servidumbre de tránsito"""
flashcard,cmn16pff500pwfp0zfbd4wnff,P3,LII_T11,LII_T11_P2,"override: ""servidumbre legal"""
flashcard,cmn16pfgv00pxfp0z6j4p15d2,P3,LII_T11,LII_T11_P2,"override: ""servidumbre legal"""
