model,id,own_rama,own_hits,target_rama,target_hits,ratio,excerpt,civil_hits,procesal_hits,organico_hits
flashcard,cmnnwyas704u5540zzdvwdtc0,DERECHO_ORGANICO,1,DERECHO_CIVIL,2,2.00,¿Cuáles son las principales materias de arbitraje PROHIBIDO? Materias que NUNCA van a arbitraje: 1) Causas PENALES (el ius puniendi es del Estado). 2) Causas de ALIMENTOS (derecho indisponible del ali,2,0,1
flashcard,cmnnwt0650214540zqc2wmx8z,DERECHO_PROCESAL_CIVIL,1,DERECHO_ORGANICO,2,2.00,¿Quién practica la notificación personal en persona? La practica un ministro de fe: 1) El RECEPTOR JUDICIAL: funcionario auxiliar de la administración de justicia cuya función específica es practicar ,0,1,2
mcq,cmn3wjspi01nx310z47fd7qtb,DERECHO_PROCESAL_CIVIL,1,DERECHO_ORGANICO,2,2.00,La reposición se interpone ante: El MISMO tribunal que dictó la resolución. Para que reconsidere (art. 181) Un tribunal arbitral La Corte Suprema El tribunal superior Art. 181: ante el mismo tribunal.,0,1,2
mcq,cmnnwugfq02sc540zvmn50vg2,DERECHO_PROCESAL_CIVIL,1,DERECHO_ORGANICO,2,2.00,"El recurso de apelación se interpone ante: La Corte de Apelaciones directamente El MISMO tribunal que dictó la resolución apelada (primera instancia), que controla admisibilidad y eleva los autos a la",0,1,2
mcq,cmnnwtgt102a1540z5l0wh12l,DERECHO_PROCESAL_CIVIL,1,DERECHO_ORGANICO,2,2.00,La vía DECLINATORIA para cuestionar la competencia consiste en: Presentarse ante el tribunal que se cree competente Presentarse ante el MISMO TRIBUNAL que está conociendo y pedirle que se declare INCO,0,1,2
mcq,cmnnwx6nb048u540z35xbfnzn,DERECHO_ORGANICO,1,DERECHO_CIVIL,2,2.00,"La posesión efectiva intestada se tramita: Ante el tribunal del domicilio del causante Ante el REGISTRO CIVIL (Ley 19.903), no ante tribunal. Es excepción a la competencia territorial judicial: se des",2,0,1
definicion,cmnnwya5u04tt540zxgkriwub,DERECHO_ORGANICO,1,DERECHO_CIVIL,2,2.00,"Arbitraje prohibido (arts. 229-230 COT) Materias que NUNCA pueden ir a arbitraje: causas penales (ius puniendi del Estado), alimentos (derecho indisponible), estado civil (filiación, matrimonio), caus",2,0,1
definicion,cmnnwszek020p540zmv999by3,DERECHO_PROCESAL_CIVIL,1,DERECHO_ORGANICO,2,2.00,Notificación personal en persona (art. 40 CPC) La forma más completa: entrega a la persona misma del notificado de copia íntegra de la resolución y solicitud. La practica un ministro de fe (receptor j,1,1,2
definicion,cmnnwxxey04n0540zy3w1dt2d,DERECHO_ORGANICO,1,DERECHO_CIVIL,2,2.00,"Tribunales de familia (Ley 19.968) Tribunales ESPECIALES con jueces especializados y procedimiento ORAL. Creados en 2004, reemplazaron juzgados de menores. Competencia amplísima: alimentos, VIF, cuida",2,0,1
flashcard,cmnnwyd6j04vg540za5fu3kpt,DERECHO_PROCESAL_CIVIL,2,DERECHO_ORGANICO,2,1.00,"[CONEXIÓN] ¿Cómo conecta el procedimiento arbitral con todo lo estudiado? 1) CPC (Bloques 5-8): el árbitro de derecho aplica el CPC completo (demanda, prueba, sentencia). 2) TRIBUNALES ORDINARIOS (Tem",0,2,2
flashcard,cmnnwtghy029v540zkblzrm9g,DERECHO_PROCESAL_CIVIL,2,DERECHO_ORGANICO,2,1.00,[CONEXIÓN] ¿Por qué la acumulación de autos y las cuestiones de competencia son incidentes ESPECIALES? Porque tienen tramitación PROPIA distinta al incidente ordinario (3 días traslado + 8 días prueba,0,2,2
