model,id,own_rama,own_hits,target_rama,target_hits,ratio,excerpt,civil_hits,procesal_hits,organico_hits
definicion,cmno43tzo008ros0zgi1z8e9m,DERECHO_PROCESAL_CIVIL,1,DERECHO_CIVIL,4,4.00,"Excepciones del art. 234 CPC Defensas taxativas del ejecutado en el cumplimiento incidental: pago, remisión, concesión de esperas, novación, compensación, transacción, y pérdida del carácter ejecutori",4,1,0
flashcard,cmno43uaq008xos0zj93z9b8u,DERECHO_PROCESAL_CIVIL,2,DERECHO_CIVIL,4,2.00,¿Cuáles son las excepciones que puede oponer el ejecutado en el cumplimiento incidental (art. 234 CPC)? Son taxativas: (1) Pago de la deuda. (2) Remisión de la deuda. (3) Concesión de esperas o prórro,4,2,0
flashcard,cmnnwyr42052w540z9iw2ahkd,DERECHO_PROCESAL_CIVIL,2,DERECHO_CIVIL,4,2.00,[INTEGRADOR] ¿Cuál es la cadena completa de una compraventa de inmueble con sus auxiliares? 7 pasos con 4 auxiliares: 1) NOTARIO otorga escritura pública (título + solemnidad). 2) CONSERVADOR inscribe,4,2,0
flashcard,cmn3who2a00je310zg8iea9l4,DERECHO_CIVIL,0,DERECHO_PROCESAL_CIVIL,4,0.00,"¿Cuáles son las vías para alegar nulidad procesal en el CPC? 1) Incidente de nulidad (arts. 83-84 CPC), 2) Recurso de casación en la forma (art. 768), 3) Excepciones dilatorias (art. 303), 4) Recurso ",0,4,0
flashcard,cmnnwxu7d04l9540zolloq16g,DERECHO_PROCESAL_CIVIL,0,DERECHO_ORGANICO,4,0.00,¿Qué es la inhabilitación por implicancia o recusación en el contexto de subrogación/integración? Cuando un juez o ministro está IMPLICADO o RECUSADO (tiene relación con las partes o el asunto que com,0,0,4
flashcard,cmnnwuri102y6540z6bevrp85,DERECHO_PROCESAL_CIVIL,0,DERECHO_CIVIL,4,0.00,¿Qué excepciones puede oponer el deudor en el cumplimiento incidental? Son excepciones LIMITADAS (no puede rediscutir el juicio): 1) PAGO de la deuda. 2) REMISIÓN (condonación). 3) CONCESIÓN DE ESPERA,4,0,0
flashcard,cmnnwvugv03j3540zyij6sn72,DERECHO_PROCESAL_CIVIL,0,DERECHO_CIVIL,4,0.00,¿Qué inscripciones requiere la posesión efectiva? 1) Inscripción de la resolución de posesión efectiva en el REGISTRO DE PROPIEDAD del Conservador de Bienes Raíces. 2) Inscripción especial de HERENCIA,4,0,1
flashcard,cmnnwykvd04zm540zkt2hrr48,DERECHO_ORGANICO,0,DERECHO_PROCESAL_CIVIL,4,0.00,¿Cómo conectan los receptores con las notificaciones del CPC? Los receptores practican las notificaciones estudiadas en Bloque 5 (26A): 1) NOTIFICACIÓN PERSONAL (art. 40 CPC): el receptor entrega copi,0,4,0
flashcard,cmnnwyp4b051t540zm628a6x7,DERECHO_ORGANICO,0,DERECHO_CIVIL,4,0.00,"[CASO] En una compraventa de inmueble completa, ¿qué auxiliares intervienen? CADENA COMPLETA: 1) NOTARIO: otorga escritura pública de compraventa (título + solemnidad). 2) CONSERVADOR: inscribe en Reg",4,0,0
flashcard,cmnnwtgci029s540zzq01dt42,DERECHO_PROCESAL_CIVIL,0,DERECHO_ORGANICO,4,0.00,¿Qué ocurre si el tribunal requerido en la inhibitoria se niega a inhibirse? Se produce una CONTIENDA DE COMPETENCIA: dos tribunales reclaman competencia sobre el mismo asunto. La contienda se resuelv,0,0,4
mcq,cmnnwus7n02yk540zn7qflqcs,DERECHO_PROCESAL_CIVIL,0,DERECHO_CIVIL,4,0.00,"En el cumplimiento incidental, el deudor puede oponer: Todas las defensas del juicio original Excepciones LIMITADAS de extinción posterior a la sentencia: pago, remisión, novación, compensación, trans",4,0,0
mcq,cmn3wjxx701qq310zej6fxo01,DERECHO_PROCESAL_CIVIL,0,DERECHO_CIVIL,4,0.00,La acción reivindicatoria protege: Un derecho personal La posesión La mera tenencia El DOMINIO. La ejerce el dueño contra el poseedor no dueño (art. 889) Art. 889: acción real. Protege dominio. Las po,4,0,0
mcq,cmnnwtgwq02a3540z01u8hw34,DERECHO_PROCESAL_CIVIL,0,DERECHO_ORGANICO,4,0.00,Si el tribunal requerido en la inhibitoria se niega a inhibirse: El juicio se anula Se produce una CONTIENDA DE COMPETENCIA que resuelve el tribunal superior común a ambos (Corte de Apelaciones o Cort,0,0,4
mcq,cmnnwylm20500540zvru9fwek,DERECHO_ORGANICO,0,DERECHO_CIVIL,4,0.00,La inscripción en el CBR es el modo de efectuar la: Compraventa TRADICIÓN de inmuebles (art. 686 CC). Sin inscripción → no hay tradición → no hay transferencia de dominio. Escritura (título) + inscrip,4,0,0
definicion,cmnnwtfhg029b540znhexuoqk,DERECHO_PROCESAL_CIVIL,0,DERECHO_ORGANICO,4,0.00,Contienda de competencia Conflicto entre dos tribunales que reclaman o rechazan competencia sobre un mismo asunto. Surge cuando el tribunal requerido en la inhibitoria se niega a inhibirse. La resuelv,0,0,4
flashcard,cmnnwsqxl01w4540zpsf6xy1z,DERECHO_PROCESAL_CIVIL,1,DERECHO_CIVIL,3,3.00,¿Cuáles son los 3 niveles de capacidad necesarios para actuar válidamente en un juicio civil? Son tres niveles acumulativos: 1) CAPACIDAD PARA SER PARTE (capacidad de goce): aptitud para ser titular d,3,1,0
flashcard,cmnnwzfjw05g2540z8tavbr5f,DERECHO_PROCESAL_CIVIL,1,DERECHO_ORGANICO,3,3.00,¿Cómo se conecta la competencia del tribunal con la admisibilidad de la demanda en el CPC? El tribunal debe examinar de oficio su competencia absoluta al recibir la demanda. Si es incompetente por mat,0,1,3
flashcard,cmnnwvpj203gd540z573hh1ns,DERECHO_PROCESAL_CIVIL,1,DERECHO_CIVIL,3,3.00,¿Qué son los actos judiciales no contenciosos? Art. 817 CPC: son aquellos que según la ley requieren la intervención del juez y en que NO se promueve contienda alguna entre partes. No hay CONFLICTO: u,3,1,1
flashcard,cmnnwwt0z041g540z635lccar,DERECHO_ORGANICO,1,DERECHO_CIVIL,3,3.00,[CONEXIÓN] ¿Cómo se conecta la materia con lo estudiado en los Bloques 5-8? Todo el CPC estudiado corresponde a la materia CIVIL: 1) Juicio ordinario (Bloque 6): materia civil general → juzgado de let,3,1,1
flashcard,cmnnwwxav043r540zt8dkea9i,DERECHO_ORGANICO,1,DERECHO_PROCESAL_CIVIL,3,3.00,¿Qué pasa si un juicio avanza entero ante tribunal absolutamente incompetente? TODO lo actuado es NULO: desde la demanda hasta la sentencia. La nulidad es insanable. Puede reclamarse: 1) Por INCIDENTE,0,3,1
flashcard,cmnnwvuim03j4540z0ceqsbtz,DERECHO_PROCESAL_CIVIL,1,DERECHO_CIVIL,3,3.00,[CONEXIÓN] ¿Cómo se conectan la muerte presunta y la posesión efectiva con los Bloques anteriores? 1) SUCESIONES (Bloque 2): la muerte presunta abre la sucesión; la posesión efectiva habilita al hered,3,1,0
flashcard,cmnnwwqla0404540zb2dwppnq,DERECHO_ORGANICO,1,DERECHO_CIVIL,3,3.00,"¿Cómo se determina la cuantía en asuntos SIN valor determinado? Los asuntos NO SUSCEPTIBLES de apreciación pecuniaria se reputan de MAYOR CUANTÍA → procedimiento ordinario, doble instancia. Incluye: e",3,0,1
flashcard,cmnnwwcyv03sw540zauega4b1,DERECHO_PROCESAL_CIVIL,1,DERECHO_ORGANICO,3,3.00,"[INTEGRADOR] ¿Cuáles bases tienen EXCEPCIONES importantes? 1) TERRITORIALIDAD: excepciones → exhortos, Corte Suprema (nacional), prórroga de competencia. 2) PASIVIDAD: excepciones → casación de oficio",0,1,3
mcq,cmn17e1uh00djy40z3xbat086,DERECHO_ORGANICO,1,DERECHO_PROCESAL_CIVIL,3,3.00,La declinatoria se tramita como: Recurso de casación Excepción dilatoria de incompetencia (art. 303 Nº 1 CPC) Incidente de nulidad Recurso de apelación Art. 101 CPC: la declinatoria es una forma de al,0,3,1
mcq,cmno43h5k001vos0zcoof9v4d,DERECHO_ORGANICO,1,DERECHO_PROCESAL_CIVIL,3,3.00,La diferencia esencial entre patrocinio y poder (mandato judicial) es: Son sinónimos usados indistintamente El patrocinio es la dirección técnica-estratégica del juicio; el poder es la representación ,1,3,1
mcq,cmnnwpm4u007u540z4vql6ftx,DERECHO_CIVIL,1,DERECHO_PROCESAL_CIVIL,3,3.00,"¿Qué actos procesales de disposición requieren autorización judicial del guardador? Solo la demanda inicial Desistirse de una demanda, allanarse, transigir o comprometer en arbitraje Todos los actos p",1,3,0
mcq,cmnnwwr5f040f540zf88n5gja,DERECHO_ORGANICO,1,DERECHO_CIVIL,3,3.00,"Los asuntos no susceptibles de apreciación pecuniaria se reputan de: Mínima cuantía MAYOR CUANTÍA: procedimiento ordinario y doble instancia. Incluye estado civil, filiación, validez de testamento. La",3,0,1
mcq,cmnnxdxu900pmr30zrzl6cy0x,DERECHO_CIVIL,1,DERECHO_PROCESAL_CIVIL,3,3.00,El secuestro según el art. 2249 CC es: Depósito de cosa disputada por dos o más personas en manos de un tercero que restituye al vencedor Lo mismo que el depósito voluntario Un delito tipificado en el,1,3,0
trueFalse,cmnnwwrnp040p540z97ssj1pv,DERECHO_ORGANICO,1,DERECHO_CIVIL,3,3.00,"Los asuntos de estado civil se reputan de mayor cuantía. Los asuntos no susceptibles de apreciación pecuniaria (estado civil, filiación, validez de testamento) se reputan de MAYOR CUANTÍA. Procedimien",3,0,1
trueFalse,cmnnwwkyz03x3540z31c84rds,DERECHO_ORGANICO,1,DERECHO_CIVIL,3,3.00,Los equivalentes jurisdiccionales pueden usarse para resolver cuestiones de estado civil. NO: el estado civil es materia de ORDEN PÚBLICO e indisponible. Solo la jurisdicción estatal puede resolver so,3,0,1
trueFalse,cmnnwyq58052d540zsh65i8wr,DERECHO_ORGANICO,1,DERECHO_PROCESAL_CIVIL,3,3.00,[CASO] En el juicio ejecutivo el auxiliar más importante es el relator. Es el RECEPTOR: practica requerimiento de pago y embargo. El relator solo interviene si hay apelación ante la Corte.,0,3,1
definicion,cmnnwx50m047y540zlqdyt8zu,DERECHO_ORGANICO,1,DERECHO_CIVIL,3,3.00,"Competencia relativa en no contenciosos (art. 134 COT) Domicilio del SOLICITANTE. Regla INVERSA a la contenciosa (demandado). Sin contraparte → se protege al solicitante. Aplica a: muerte presunta, ca",3,0,1
flashcard,cmnnww1gt03mp540zbu4bdtts,DERECHO_PROCESAL_CIVIL,2,DERECHO_CIVIL,3,1.50,¿Qué actos no contenciosos son la 'antesala' directa de procedimientos contenciosos? 1) MUERTE PRESUNTA → abre SUCESIÓN → puede llevar a PARTICIÓN (arbitraje forzoso). 2) POSESIÓN EFECTIVA → habilita ,3,2,0
flashcard,cmnnwycq704v7540zd8gerw27,DERECHO_ORGANICO,2,DERECHO_PROCESAL_CIVIL,3,1.50,¿Cómo tramita el ÁRBITRO DE DERECHO? Tramita según las reglas del CPC: procedimiento ORDINARIO o el que corresponda según la naturaleza del asunto. Es como un juicio ante juzgado de letras pero ante á,0,3,2
mcq,cmnnwypqj0525540zil3fnryo,DERECHO_ORGANICO,2,DERECHO_PROCESAL_CIVIL,3,1.50,"[CASO] En juicio ejecutivo, el auxiliar más importante es: El relator El RECEPTOR: practica requerimiento de pago + embargo. Sin receptor → no hay ejecución. Es el brazo de fuerza del juicio ejecutivo",0,3,2
mcq,cmnnwzk4u05ih540zg6dfdqxu,DERECHO_PROCESAL_CIVIL,2,DERECHO_ORGANICO,3,1.50,"Durante el juicio, el abogado de Joaquín descubre que el juez es socio de Luisa en una empresa. ¿Qué debe ocurrir? Nada, porque el juez ya está radicado en el asunto El juez debe inhabilitarse de ofic",0,2,3
definicion,cmnnwykb504zb540zx63cfaiv,DERECHO_ORGANICO,2,DERECHO_PROCESAL_CIVIL,3,1.50,"Receptor judicial Auxiliar que practica NOTIFICACIONES judiciales y DILIGENCIAS fuera del tribunal. Ministro de fe del proceso. Funciones: notificación personal y por cédula, prueba testimonial fuera,",0,3,2
flashcard,cmnnwylbs04zv540zdgkle7sw,DERECHO_PROCESAL_CIVIL,3,DERECHO_CIVIL,3,1.00,"[CONEXIÓN] ¿Cómo conectan receptores y CBR con todo lo estudiado? RECEPTORES: 1) Notificaciones (Bloque 5, 26A). 2) Prueba testimonial fuera del tribunal (Bloque 6). 3) Embargo en juicio ejecutivo (Bl",3,3,0
flashcard,cmn16pn2900t7fp0zer1civ7g,DERECHO_CIVIL,0,DERECHO_PROCESAL_CIVIL,3,0.00,"¿Qué es la interrupción civil de la prescripción según el art. 2503 CC? La que se produce por toda demanda judicial, salvo las excepciones: 1) Notificación no hecha en forma legal, 2) Desistimiento de",0,3,0
flashcard,cmn1734f600a2p50zq7rc273s,DERECHO_PROCESAL_CIVIL,0,DERECHO_CIVIL,3,0.00,"¿Qué es la autorización para gravar o enajenar bienes de la mujer casada en sociedad conyugal? Antes era acto no contencioso. Con las reformas (Ley 19.335 y Ley 19.947), la mujer tiene más autonomía p",3,0,0
flashcard,cmn1734nw00a7p50zt5micssa,DERECHO_PROCESAL_CIVIL,0,DERECHO_CIVIL,3,0.00,"¿Cuáles son los principales actos no contenciosos del CPC Libro IV? 1) Posesión efectiva (testamentaria), 2) Inventario solemne, 3) Tasación, 4) Herencia yacente, 5) Habilitación para comparecer, 6) I",3,0,0
flashcard,cmn3wjwj501pz310zgy3sey87,DERECHO_PROCESAL_CIVIL,0,DERECHO_CIVIL,3,0.00,"¿Qué es la acción reivindicatoria? Art. 889 CC: acción REAL del dueño de cosa singular para recuperarla del poseedor no dueño. Requisitos: 1) Ser dueño, 2) Haber perdido la posesión, 3) Cosa singular ",3,0,0
flashcard,cmn3wjwky01q0310zezxyhrwj,DERECHO_PROCESAL_CIVIL,0,DERECHO_CIVIL,3,0.00,¿Cuál es la diferencia entre acción reivindicatoria y acciones posesorias? REIVINDICATORIA: protege el DOMINIO. La ejerce el dueño. Contra el poseedor. Discute propiedad. Para muebles e inmuebles. POS,3,0,0
flashcard,cmn3wkbx301y9310z7uy0fsw9,DERECHO_PROCESAL_CIVIL,0,DERECHO_ORGANICO,3,0.00,"En examen oral, si preguntan: '¿cómo determina la competencia de un tribunal civil?', ¿qué debe cubrir? 1) Competencia ABSOLUTA: cuantía (art. 115 COT), materia (naturaleza del asunto), fuero (calidad",0,0,3
flashcard,cmnnwvrwg03ho540zm5ytly41,DERECHO_PROCESAL_CIVIL,0,DERECHO_CIVIL,3,0.00,¿Quién es 'legítimo contradictor'? Es quien tiene un INTERÉS JURÍDICO legítimo en oponerse a lo solicitado. No cualquiera puede oponerse: debe tener un derecho o interés que se vea AFECTADO por la res,3,0,0
flashcard,cmnnwshjs01r7540zuxgn4n1q,DERECHO_CIVIL,0,DERECHO_PROCESAL_CIVIL,3,0.00,¿Qué aborda la Sección VII del Mensaje respecto de la prueba de las obligaciones? Bello explica el sistema de prueba adoptado para acreditar la existencia y contenido de las obligaciones: 1) Por qué a,0,3,0
flashcard,cmnnwxtoa04kz540zy703gl9m,DERECHO_PROCESAL_CIVIL,0,DERECHO_ORGANICO,3,0.00,¿Qué es la subrogación y cuándo opera? Es el reemplazo AUTOMÁTICO del juez de un tribunal unipersonal cuando este no puede ejercer sus funciones. Opera por: 1) INHABILIDAD: implicancia o recusación de,0,0,3
flashcard,cmno442d800cxos0zkbqd69zi,DERECHO_PROCESAL_CIVIL,0,DERECHO_CIVIL,3,0.00,"¿Cuáles son los requisitos para que proceda el derecho legal de retención? (1) Que la ley lo conceda expresamente (arrendamiento art. 1937 CC, depósito art. 2234 CC, mandato art. 2162 CC). (2) Que exi",3,0,0
flashcard,cmnnwzdgq05ey540z3t6o2ob0,DERECHO_PROCESAL_CIVIL,0,DERECHO_ORGANICO,3,0.00,"Elabore un mapa conceptual del COT como sistema integrado. Nivel 1 (fundamento): 12 Bases → legitimidad, operación, equidad, poder. Nivel 2 (poder): Jurisdicción → poder de juzgar, 3 momentos, equival",0,0,3
flashcard,cmnnwzfar05fx540zgklwxstu,DERECHO_PROCESAL_CIVIL,0,DERECHO_ORGANICO,3,0.00,"¿Cómo condiciona la implicancia del juez (COT) el desarrollo del juicio ordinario (CPC)? Si el juez incurre en causal de implicancia (art. 195 COT), debe inhabilitarse de oficio. Esto activa la subrog",0,0,3
flashcard,cmnnwzhoj05h7540z1ftmw9qj,DERECHO_PROCESAL_CIVIL,0,DERECHO_CIVIL,3,0.00,"¿Cómo se relacionan las medidas conservativas del CC con las medidas precautorias del CPC y la competencia del COT? El CC contempla medidas conservativas en diversos contextos (herencia yacente, fidei",3,0,0
flashcard,cmnnww6ok03pi540zfozf9lid,DERECHO_ORGANICO,0,DERECHO_PROCESAL_CIVIL,3,0.00,¿Qué consecuencia tiene que un tribunal actúe fuera de su territorio sin autorización legal? La actuación es NULA: carece de validez jurídica. Si un juez de Santiago dicta una resolución sobre un asun,0,3,0
flashcard,cmnnwyl0u04zp540zyyd7hbe0,DERECHO_ORGANICO,0,DERECHO_CIVIL,3,0.00,¿Cómo se conecta el CBR con la TRADICIÓN? La inscripción en el Registro de Propiedad del CBR es el modo de efectuar la TRADICIÓN de inmuebles (art. 686 CC). Sin inscripción → no hay tradición → no hay,3,0,0
flashcard,cmnnwyp2d051s540z061k01ry,DERECHO_ORGANICO,0,DERECHO_PROCESAL_CIVIL,3,0.00,"[CASO] En un juicio EJECUTIVO, ¿qué auxiliares son indispensables? 3 auxiliares clave: 1) RECEPTOR: practica el REQUERIMIENTO DE PAGO al deudor (va a su domicilio) + practica el EMBARGO de bienes. Sin",0,3,0
flashcard,cmnnwyp64051u540z9qje6s6j,DERECHO_ORGANICO,0,DERECHO_PROCESAL_CIVIL,3,0.00,"[CASO] ¿Qué pasa si el receptor NO notifica válidamente? La notificación es NULA: todo lo actuado después puede ser anulado (art. 83 CPC, incidente de nulidad). El demandado no queda legalmente entera",0,3,0
flashcard,cmnnwwsq2041a540z2u3aagdb,DERECHO_ORGANICO,0,DERECHO_CIVIL,3,0.00,"¿Cómo determina la materia si un asunto es civil o de otra naturaleza? La materia se determina por la NATURALEZA DE LA PRETENSIÓN, no por la calidad de las partes: 1) Si la pretensión es CONTRACTUAL c",3,0,0
flashcard,cmnnwwsmc0418540zvh1yde4g,DERECHO_ORGANICO,0,DERECHO_CIVIL,3,0.00,"¿Qué asuntos conocen los tribunales de FAMILIA? Ley 19.968: 1) MATRIMONIO: nulidad, separación, divorcio. 2) FILIACIÓN: reconocimiento, impugnación, investigación de paternidad/maternidad. 3) ADOPCIÓN",3,0,0
flashcard,cmn3whp2x00jx310zlbc6n1mo,DERECHO_CIVIL,0,DERECHO_PROCESAL_CIVIL,3,0.00,¿El incidente del art. 83 tiene límite temporal absoluto? Art. 83 inc. final: el incidente de nulidad no puede promoverse pasados 5 días desde que se tuvo conocimiento del vicio. Pero la nulidad por F,0,3,0
flashcard,cmn3wkc6701ye310zuy37m3cr,DERECHO_CIVIL,0,DERECHO_PROCESAL_CIVIL,3,0.00,"¿Cómo conecta la nulidad procesal con la nulidad civil en un caso integrado? PROCESAL (art. 83 CPC): vicio en ACTUACIONES del juicio (notificación, emplazamiento). Se alega por incidente (5 días). CIV",0,3,0
flashcard,cmnnwvq1503gn540zao0wjyyl,DERECHO_PROCESAL_CIVIL,0,DERECHO_CIVIL,3,0.00,¿Los actos no contenciosos son la 'antesala' de juicios contenciosos? SÍ: muchos actos no contenciosos son el PASO PREVIO a procedimientos contenciosos: 1) La MUERTE PRESUNTA (no contencioso) abre la ,3,0,0
flashcard,cmnnwyl9z04zu540zq3pn3i8z,DERECHO_ORGANICO,0,DERECHO_PROCESAL_CIVIL,3,0.00,¿Cómo conectan los receptores con el juicio ejecutivo (Bloque 7)? Los receptores practican el EMBARGO: van al domicilio del deudor y embargan los bienes (art. 450 CPC). Funciones en el ejecutivo: 1) N,0,3,0
flashcard,cmnnwyz8c0579540zhfz81nzh,DERECHO_ORGANICO,0,DERECHO_PROCESAL_CIVIL,3,0.00,¿El RECEPTOR inhabilitado genera nulidad de la notificación? SÍ: si el receptor tiene causal de inhabilidad y practica la notificación → la notificación puede ser NULA. Consecuencias: 1) Todo lo actua,0,3,0
flashcard,cmnnwz0v30585540zulech3pu,DERECHO_ORGANICO,0,DERECHO_PROCESAL_CIVIL,3,0.00,"[INTEGRADOR] ¿Cómo conectan las inhabilidades con el CPC (Bloques 5-8)? 4 conexiones: 1) INCIDENTES (Bloque 5, 27A): se tramitan como incidente especial (arts. 113-128). 2) CASACIÓN FORMA (Bloque 6, 3",0,3,0
flashcard,cmn3wkn0l0246310z6fm7smgw,DERECHO_CIVIL,0,DERECHO_ORGANICO,3,0.00,"Examinador: 'Explique la prórroga de competencia.' Art. 181 COT: las partes pueden prorrogar la competencia RELATIVA (territorial) en asuntos contenciosos civiles. Puede ser EXPRESA (acuerdo previo, e",0,0,3
flashcard,cmnnwyiuw04yj540z5omzbx7o,DERECHO_ORGANICO,0,DERECHO_CIVIL,3,0.00,¿Qué es una ESCRITURA PÚBLICA? Es un instrumento PÚBLICO otorgado ante notario e incorporado en su PROTOCOLO (registro). Art. 403 COT. Requisitos: 1) Otorgada ante NOTARIO competente (de su territorio,3,0,0
flashcard,cmnnwtidv02aw540z0l8g66wi,DERECHO_PROCESAL_CIVIL,0,DERECHO_ORGANICO,3,0.00,¿Qué efecto tiene que se acoja una implicancia o recusación? El juez inhabilitado deja de conocer del asunto y es SUBROGADO por el juez que corresponda según las reglas del COT. El juicio no se anula ,0,0,3
mcq,cmn172y8i007up50zen82gu07,DERECHO_PROCESAL_CIVIL,0,DERECHO_CIVIL,3,0.00,"En los interdictos posesorios el tribunal: Ordena la inscripción del dominio Declara quién es el dueño Resuelve sobre la prescripción adquisitiva No discute dominio, solo posesión. Protección rápida d",3,0,0
mcq,cmn174uie00yrp50zl20xx33k,DERECHO_PROCESAL_CIVIL,0,DERECHO_ORGANICO,3,0.00,La casación en el fondo procede ante: El tribunal arbitral El mismo tribunal que dictó la sentencia Cualquier Corte de Apelaciones La Corte Suprema exclusivamente (art. 767 CPC) Art. 767 CPC: la casac,0,0,3
mcq,cmn17dmry007hy40zfiv7mo5p,DERECHO_ORGANICO,0,DERECHO_PROCESAL_CIVIL,3,0.00,Contra la sentencia del TOP procede: Recurso de apelación Recurso de reposición Recurso de casación en la forma Recurso de nulidad ante la CA o CS (arts. 372-387 CPP) Arts. 372-387 CPP: nulidad por ca,0,3,0
mcq,cmn3wjsuz01o0310zxexljklx,DERECHO_PROCESAL_CIVIL,0,DERECHO_ORGANICO,3,0.00,La casación en el fondo solo la conoce: La Corte de Apelaciones El mismo tribunal La CORTE SUPREMA. Solo contra definitivas/interlocutorias inapelables de CA. Por infracción de ley (art. 767) Un tribu,0,0,3
mcq,cmn3wjxz001qr310znk0529zh,DERECHO_PROCESAL_CIVIL,0,DERECHO_CIVIL,3,0.00,"Las acciones posesorias se diferencian de la reivindicatoria en que: Protegen la POSESIÓN (no dominio), solo para inmuebles, no discuten propiedad, requieren 1 año de posesión Solo difieren en el trib",3,0,0
mcq,cmn3wknxr024o310z3ceg5pln,DERECHO_PROCESAL_CIVIL,0,DERECHO_ORGANICO,3,0.00,La prórroga de competencia puede ser: De competencia absoluta Solo tácita EXPRESA (cláusula) o TÁCITA (demandante elige y demandado no reclama). Solo competencia RELATIVA. Solo contencioso civil Solo ,0,0,3
mcq,cmno43qw10077os0zqr5ddgsk,DERECHO_ORGANICO,0,DERECHO_PROCESAL_CIVIL,3,0.00,¿Qué recurso permite a la CS anular sentencias firmes cuando se descubren vicios graves posteriores? Recurso de casación en la forma Recurso de revisión (art. 810 CPC) Recurso de queja Recurso de apel,0,3,0
mcq,cmnnwwtd0041m540zaefce7fz,DERECHO_ORGANICO,0,DERECHO_CIVIL,3,0.00,"Los tribunales de familia conocen: Solo divorcios AMPLIA variedad: matrimonio (nulidad, separación, divorcio), filiación, adopción, alimentos, cuidado personal, guardas, VIF, protección de NNA, autori",3,0,0
