model,id,own_rama,target_rama,aplica,confidence,razon
mcq,cmn174uie00yrp50zl20xx33k,DERECHO_PROCESAL_CIVIL,DERECHO_ORGANICO,true,high,Competencia de la Corte Suprema es materia sustancial de COT. Art. 767 CPC remite a estructura orgánica y competencia definida en COT.
mcq,cmn3wjsuz01o0310zxexljklx,DERECHO_PROCESAL_CIVIL,DERECHO_ORGANICO,true,high,"Casación en el fondo es competencia exclusiva de CS (art. 767 CPC), pero su regulación orgánica y competencia están en COT arts. 82-83. Ambas ramas sustancialmente."
trueFalse,cmnnwth9j02aa540z3cs9udpz,DERECHO_PROCESAL_CIVIL,DERECHO_ORGANICO,true,high,"Contienda de competencia es institución procesal regulada sustancialmente en COT (arts. 187-192). El ejercicio trata reglas de competencia de tribunales, materia propia de COT."
trueFalse,cmnnwwtrz041u540zwr1pi24z,DERECHO_ORGANICO,DERECHO_CIVIL,true,high,"VIF involucra relaciones familiares (matrimonio, convivencia) reguladas sustancialmente en CC. Competencia (COT) y sustancia (CC) son inseparables aquí."
definicion,cmnnwtfdu0299540zh4zmugzk,DERECHO_PROCESAL_CIVIL,DERECHO_ORGANICO,true,high,"La vía inhibitoria es un mecanismo procesal de competencia regulado sustancialmente en COT (arts. 102-109), no solo en CPC. Pertenece al régimen orgánico de competencia."
flashcard,cmn3wjm7q01kh310zzic52dpy,DERECHO_PROCESAL_CIVIL,DERECHO_ORGANICO,true,high,"Casación es recurso procesal (CPC) pero su conocimiento corresponde a Corte Suprema, cuya competencia, composición y funcionamiento se regulan en COT. Ambas ramas sustancialmente relevantes."
flashcard,cmnnwtndq02dg540zcdzr6084,DERECHO_PROCESAL_CIVIL,DERECHO_ORGANICO,true,high,Implicancia/recusación y auto/interlocutoria son instituciones procesales reguladas sustancialmente en COT (arts. 195-214 y 181-182). El ejercicio integrador toca núcleo de ambas ramas.
flashcard,cmnnwxnt904hu540zv5lop2w9,DERECHO_PROCESAL_CIVIL,DERECHO_ORGANICO,true,high,"Los juzgados de letras son órganos jurisdiccionales regulados sustancialmente en COT (arts. 13-17, 32-33). El ejercicio trata su competencia y estructura, temas centrales de COT."
flashcard,cmnnwwhix03v8540zqtekow4u,DERECHO_ORGANICO,DERECHO_CIVIL,true,high,"Jurisdicción voluntaria regula actos civiles (muerte presunta, posesión efectiva, cambio de nombre, inventario) cuya sustancia está en CC. CPC solo fija procedimiento; CC define derechos y efectos civ"
flashcard,cmnnwwk8z03wp540zz6xl5q1c,DERECHO_ORGANICO,DERECHO_CIVIL,true,high,"Los equivalentes jurisdiccionales (arbitraje, mediación) se regulan en CPC pero su aplicabilidad depende de derechos disponibles/indisponibles, concepto sustancial del CC (estado civil, alimentos, der"
flashcard,cmnnwyas704u5540zzdvwdtc0,DERECHO_ORGANICO,DERECHO_CIVIL,true,high,"Arbitraje prohibido es materia sustancial del CC (arts. 227, 230, 2670-2680). Estado civil, alimentos y representación legal son instituciones civiles cuya arbitrabilidad se regula en ambos códigos."
flashcard,cmnnwt0650214540zqc2wmx8z,DERECHO_PROCESAL_CIVIL,DERECHO_ORGANICO,true,high,Receptor judicial es figura regulada en COT (arts. 318-329) como auxiliar de justicia. Notificaciones son procedimiento tanto CPC como COT.
mcq,cmn3wjspi01nx310z47fd7qtb,DERECHO_PROCESAL_CIVIL,DERECHO_ORGANICO,true,high,"La reposición es recurso procesal regulado en CPC (art. 181), pero su competencia y tramitación dependen de la estructura de tribunales y jerarquía establecida en COT. Ambas ramas se entrelazan sustan"
mcq,cmnnwugfq02sc540zvmn50vg2,DERECHO_PROCESAL_CIVIL,DERECHO_ORGANICO,true,high,"La apelación es procedimiento CPC, pero su estructura (tribunal a quo, ad quem, competencia) está regulada sustancialmente en COT. Ambas ramas son necesarias."
mcq,cmnnwtgt102a1540z5l0wh12l,DERECHO_PROCESAL_CIVIL,DERECHO_ORGANICO,true,high,Declinatoria es institución procesal que regula competencia de tribunales. COT define competencia y jurisdicción; CPC regula su ejercicio procesal. Ambas ramas sustancialmente aplican.
mcq,cmnnwx6nb048u540z35xbfnzn,DERECHO_ORGANICO,DERECHO_CIVIL,true,high,"Posesión efectiva intestada es institución sustancial del CC (arts. 135-168). Su tramitación ante Registro Civil (Ley 19.903) es procedimiento que modifica competencia judicial, pero el derecho materi"
definicion,cmnnwya5u04tt540zxgkriwub,DERECHO_ORGANICO,DERECHO_CIVIL,true,high,"Arbitraje prohibido trata materias indisponibles (alimentos, estado civil, filiación) que son conceptos sustanciales del CC. La nulidad del compromiso arbitral sobre estas materias es aplicable en amb"
definicion,cmnnwszek020p540zmv999by3,DERECHO_PROCESAL_CIVIL,DERECHO_ORGANICO,true,high,Receptores judiciales y notificaciones son instituciones del COT (arts. 318-330). El art. 40 CPC remite a competencias y deberes de ministros de fe regulados en COT.
definicion,cmnnwxxey04n0540zy3w1dt2d,DERECHO_ORGANICO,DERECHO_CIVIL,true,high,"Tribunales de familia resuelven materias sustancialmente civiles (alimentos, divorcio, filiación, adopción, cuidado personal). CC regula estas instituciones; CPC es supletorio. Pertenece a ambas ramas"
flashcard,cmnnwyd6j04vg540za5fu3kpt,DERECHO_PROCESAL_CIVIL,DERECHO_ORGANICO,true,high,"El arbitraje requiere COT: nombramiento de árbitro por tribunal ordinario (art. 222 COT), competencia del tribunal para conocer excepciones previas, y jurisdicción ordinaria en ejecución del laudo son"
flashcard,cmnnwtghy029v540zkblzrm9g,DERECHO_PROCESAL_CIVIL,DERECHO_ORGANICO,true,high,"Competencia y acumulación de autos son temas sustanciales del COT. COT regula jurisdicción, competencia, inhibitoria y declinatoria. CPC solo regula tramitación procesal de estos incidentes."
